Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US04013,4013,"Maricopa County, Arizona",57964,3921,2506,870,2129,763,3169,927,2489,824,4628,1143,4847,1101,4308,1172,3258,909,3772,945,5107,1121,6808,1442,8383,1619,3122,913,1688,782,1293,684,457,303
0500000US04019,4019,"Pima County, Arizona",23450,2497,3352,918,2274,920,1605,586,1738,747,947,481,1785,770,1187,513,1402,742,1778,640,2161,747,1449,692,1714,638,1274,508,422,366,260,262,102,120
0500000US04021,4021,"Pinal County, Arizona",13091,2333,929,700,456,488,1353,895,1113,862,1252,744,836,583,1060,609,466,422,1201,850,1128,633,1285,716,1198,833,794,425,20,35,0,302,0,302
0500000US04027,4027,"Yuma County, Arizona",11467,1659,1306,618,1034,653,815,551,945,622,1167,725,1268,819,393,308,761,580,470,406,875,555,1501,653,394,373,307,301,60,97,171,200,0,302
0500000US06001,6001,"Alameda County, California",33345,2311,1461,691,1761,867,2372,824,1536,797,1612,733,2666,945,1035,463,1598,630,1066,472,3034,1019,4847,1313,4308,1112,2829,897,1316,606,1261,673,643,428
0500000US06013,6013,"Contra Costa County, California",18737,1801,520,432,337,302,814,508,1193,590,1063,691,709,438,1159,614,1399,677,1223,699,1410,728,2273,730,3326,883,1029,523,703,446,993,543,586,402
0500000US06019,6019,"Fresno County, California",49151,3304,3605,918,4118,1132,4818,1257,4305,1261,3719,1049,5053,1387,3619,1171,2716,840,2517,833,2860,865,3926,1003,3963,1181,2123,803,821,521,663,547,325,302
0500000US06025,6025,"Imperial County, California",4803,818,434,278,410,294,532,334,43,69,149,165,172,165,195,206,521,362,406,249,226,198,834,335,333,215,355,254,73,104,120,149,0,294
0500000US06029,6029,"Kern County, California",34138,2414,3103,1004,2818,966,2935,959,3180,1145,2089,817,2902,991,2062,914,2023,759,2160,816,2500,833,2728,774,3906,1059,1153,577,367,253,212,163,0,294
0500000US06031,6031,"Kings County, California",3297,712,314,234,297,258,327,298,54,92,264,180,422,365,66,98,148,135,287,209,215,208,218,199,296,235,151,161,88,116,16,28,134,167
0500000US06037,6037,"Los Angeles County, California",531545,9910,30991,2977,33849,3384,38582,3378,42828,3765,37361,3564,37390,3045,29137,2793,29894,2829,25956,3209,48085,3977,58912,3710,54535,3952,33710,2866,13458,2048,11526,2078,5331,1464
0500000US06047,6047,"Merced County, California",12764,1712,1974,863,1053,530,972,534,1480,691,665,357,1060,589,727,507,555,394,737,508,839,489,979,451,419,309,866,493,288,248,150,253,0,294
0500000US06053,6053,"Monterey County, California",11002,1918,490,462,896,477,738,481,568,428,944,724,586,465,599,498,508,361,363,317,938,591,1492,672,1435,579,1151,585,107,131,127,153,60,102
0500000US06059,6059,"Orange County, California",101242,4653,4093,1073,3223,987,5316,1542,5252,1312,6182,1540,4687,1138,4974,1313,5466,1533,6595,1725,10116,1953,12061,1863,13249,1927,8730,1659,5241,1432,3869,1154,2188,826
0500000US06065,6065,"Riverside County, California",86519,4227,5019,1273,3770,1015,3604,996,5351,1395,3642,1043,5245,1362,5025,1212,5564,1268,4889,1162,9123,1415,11120,1925,10997,1940,7311,1599,3271,1082,2058,899,530,360
0500000US06067,6067,"Sacramento County, California",29500,2222,1879,785,1991,749,1247,539,1095,554,1503,802,1892,911,1561,632,2673,914,950,656,4141,1072,3786,1085,3241,959,1996,692,505,312,689,434,351,317
0500000US06071,6071,"San Bernardino County, California",81609,4630,4038,1239,4605,1203,4243,1169,4867,1195,4791,1200,4663,1216,5156,1440,6601,1402,4179,1084,7050,1723,9398,1629,11520,1913,4898,1185,3054,880,1389,552,1157,656
0500000US06073,6073,"San Diego County, California",48580,3611,2323,718,2467,894,2073,780,2908,932,2498,948,3633,1073,2410,881,3285,930,2300,779,4727,1043,5083,1304,5330,1177,4179,1110,1871,748,1647,620,1846,725
0500000US06075,6075,"San Francisco County, California",8115,1463,152,160,687,447,252,253,292,273,389,432,401,282,371,285,899,643,201,190,610,408,1220,777,592,365,372,295,876,604,384,280,417,317
0500000US06077,6077,"San Joaquin County, California",16771,1848,903,537,901,526,881,500,1213,594,985,548,1367,718,779,537,765,548,1113,593,1622,722,2240,1021,1642,657,698,437,637,516,413,259,612,533
0500000US06081,6081,"San Mateo County, California",11372,1594,406,390,789,528,209,210,459,426,912,585,455,343,721,428,1154,560,524,403,1402,632,1024,507,1565,635,962,439,306,226,421,303,63,103
0500000US06083,6083,"Santa Barbara County, California",11210,1516,124,150,970,574,740,400,781,450,590,528,544,385,1022,641,899,488,442,349,589,353,878,415,1391,534,1086,578,597,479,425,369,132,158
0500000US06085,6085,"Santa Clara County, California",41646,2808,1524,660,1552,696,1545,753,2383,990,1434,607,1288,575,2438,775,3234,1074,1365,651,4809,1277,4450,1089,5749,1039,4076,1021,2241,943,1974,725,1584,733
