CountyID,CountyName,TotalPopulation,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Year,Race
4013,"Maricopa County, Arizona",93671,8429,5754,5011,5977,5884,6246,5717,7091,5034,10238,9917,9587,4617,2238,1090,841,2016,Other
4019,"Pima County, Arizona",29588,2536,2822,3025,2267,2145,1857,1323,2151,1549,2613,2437,2855,549,448,704,307,2016,Other
4021,"Pinal County, Arizona",4167,244,582,238,452,156,211,472,168,208,457,399,257,93,183,47,0,2016,Other
4027,"Yuma County, Arizona",22780,1116,1306,1918,1018,2327,1363,1093,2114,920,1994,2366,3879,302,532,204,328,2016,Other
6001,"Alameda County, California",41898,1650,1709,989,1537,1595,1473,1996,1228,1313,3479,5180,8235,5167,2438,2377,1532,2016,Other
6013,"Contra Costa County, California",25867,343,537,1305,1021,954,1663,1542,1757,1034,2022,3539,4020,2225,1579,1187,1139,2016,Other
6019,"Fresno County, California",38745,3614,3433,2759,3792,2944,3162,2756,1901,1196,2543,3301,3529,2242,708,487,378,2016,Other
6025,"Imperial County, California",11253,1100,1129,865,215,450,475,237,502,492,1423,1472,1495,710,356,212,120,2016,Other
6029,"Kern County, California",27881,2296,1506,1224,1857,1864,3375,1263,1217,739,2685,3551,2455,2301,575,774,199,2016,Other
6031,"Kings County, California",5554,370,300,172,492,484,491,241,673,58,349,806,680,423,0,15,0,2016,Other
6037,"Los Angeles County, California",558430,31724,31847,31559,37218,33703,31693,32204,32673,29632,47695,60680,66465,41338,21644,19440,8915,2016,Other
6039,"Madera County, California",5872,369,363,349,634,437,130,508,254,428,485,840,457,355,132,69,62,2016,Other
6047,"Merced County, California",19402,1107,1014,1803,1951,1332,1504,1740,938,1232,1609,1710,2055,669,389,290,59,2016,Other
6053,"Monterey County, California",28024,1188,482,770,1668,1478,2463,1512,1704,2014,3681,4391,2976,1580,494,1181,442,2016,Other
6059,"Orange County, California",75674,2790,1419,2102,3942,4062,4291,4024,4649,3973,7723,10124,10145,7798,3482,3561,1589,2016,Other
6065,"Riverside County, California",127970,10708,5586,7042,8622,9149,6505,6374,7182,5607,10738,15977,15558,7229,6427,2702,2564,2016,Other
6067,"Sacramento County, California",31797,2009,2313,1553,1785,2180,2265,2085,1699,1989,3761,3359,2402,2396,1099,567,335,2016,Other
6071,"San Bernardino County, California",85645,5171,3660,4083,5730,4062,4635,5301,4099,4602,7801,10583,10346,6750,3895,3887,1040,2016,Other
6073,"San Diego County, California",40885,1678,1382,2673,2415,1891,2802,2001,2959,1294,3462,5698,6084,2858,1832,1255,601,2016,Other
6075,"San Francisco County, California",18942,1047,1361,581,1034,921,942,583,351,842,1381,1829,1883,2115,1718,1364,990,2016,Other
6077,"San Joaquin County, California",19419,684,722,936,1609,1106,1289,680,1184,1265,1887,2541,1983,1923,722,484,404,2016,Other
6081,"San Mateo County, California",20522,335,709,324,865,754,1476,418,1156,1611,2133,2455,3532,1112,1232,1087,1323,2016,Other
6083,"Santa Barbara County, California",10873,393,313,562,498,313,717,540,868,482,1194,1433,1937,652,397,425,149,2016,Other
6085,"Santa Clara County, California",52116,1724,1869,2094,2561,1859,2740,2802,3286,1856,3579,5027,7951,4712,4698,3246,2112,2016,Other
6087,"Santa Cruz County, California",9842,470,312,464,986,540,1074,394,415,527,822,713,1380,617,871,78,179,2016,Other
6095,"Solano County, California",11536,696,434,125,914,960,522,240,227,704,731,2609,1581,543,539,460,251,2016,Other
6097,"Sonoma County, California",15245,373,420,685,310,905,744,689,502,1061,1968,2151,2617,1124,681,686,329,2016,Other
6099,"Stanislaus County, California",17480,718,428,839,1579,1279,1434,520,1502,845,1586,2206,1629,1558,613,332,412,2016,Other
6107,"Tulare County, California",19846,2219,1711,1233,1350,1617,941,1360,1301,1583,1437,1465,1871,695,383,680,0,2016,Other
6111,"Ventura County, California",10357,407,412,263,496,614,231,369,599,584,929,990,1560,792,728,982,401,2016,Other
8001,"Adams County, Colorado",8252,151,82,233,501,309,493,367,396,279,1492,1467,1309,642,187,292,52,2016,Other
8005,"Arapahoe County, Colorado",13083,217,601,426,821,1239,1321,267,791,628,1706,1470,1990,1047,58,231,270,2016,Other
8031,"Denver County, Colorado",14615,871,495,747,1042,435,1614,702,1451,565,1491,1654,2072,466,313,243,454,2016,Other
8041,"El Paso County, Colorado",8252,144,674,566,1132,573,318,458,437,738,752,411,667,985,152,80,165,2016,Other
8101,"Pueblo County, Colorado",5335,751,450,197,431,102,182,523,510,139,708,309,585,396,0,0,52,2016,Other
9001,"Fairfield County, Connecticut",15848,633,1029,283,664,925,1336,794,1301,1246,2939,1209,1255,1298,632,266,38,2016,Other
9003,"Hartford County, Connecticut",18465,2072,1972,1122,1281,1050,1173,790,558,1450,1975,898,2231,863,664,182,184,2016,Other
9009,"New Haven County, Connecticut",15216,1343,1007,1080,930,817,791,1233,720,967,1134,1624,1831,1163,292,192,92,2016,Other
11001,"District of Columbia, District of Columbia",11190,806,1218,745,117,448,730,458,251,844,894,1438,767,1046,290,717,421,2016,Other
12011,"Broward County, Florida",17428,637,836,1255,1233,852,1032,464,1211,652,1432,2589,1666,1049,1720,368,432,2016,Other
12057,"Hillsborough County, Florida",19338,2004,991,732,1941,688,1107,828,1149,1352,2134,1330,2556,1196,335,509,486,2016,Other
12071,"Lee County, Florida",4612,398,706,432,381,402,632,132,165,39,367,221,19,339,0,379,0,2016,Other
12086,"Miami-Dade County, Florida",37904,4328,2227,2283,2598,2330,2507,1795,2084,1234,3356,2750,3379,2139,1564,1626,1704,2016,Other
12095,"Orange County, Florida",21633,3204,837,1087,1178,1415,1307,1978,996,796,3455,1401,1927,709,483,160,700,2016,Other
12099,"Palm Beach County, Florida",7869,577,257,381,604,538,421,732,453,431,506,776,664,619,38,157,715,2016,Other
13067,"Cobb County, Georgia",9849,572,0,45,1985,1216,149,358,321,123,908,2017,1030,306,277,67,475,2016,Other
13135,"Gwinnett County, Georgia",22377,1046,799,1056,2896,645,2404,1559,1322,1592,2833,2044,2046,709,485,317,624,2016,Other
17031,"Cook County, Illinois",141174,9128,8011,6940,8267,9168,7692,10719,8960,6274,11517,15040,20148,8776,4816,3623,2095,2016,Other
17043,"DuPage County, Illinois",9758,1237,1019,328,467,505,497,484,352,402,643,987,1392,787,160,416,82,2016,Other
17089,"Kane County, Illinois",21556,785,725,702,782,797,1250,1599,1739,1750,2059,3191,2744,1517,1233,435,248,2016,Other
17097,"Lake County, Illinois",13074,212,204,575,1048,150,1269,1289,1259,662,1601,883,1812,1169,489,161,291,2016,Other
17197,"Will County, Illinois",11662,556,246,508,424,155,755,571,607,622,1778,920,1598,1495,589,386,452,2016,Other
18089,"Lake County, Indiana",14565,917,301,697,1167,169,1030,1618,438,1002,1241,2279,1776,613,688,532,97,2016,Other
18097,"Marion County, Indiana",9918,857,817,668,1596,924,804,878,474,675,484,835,284,270,294,58,0,2016,Other
20173,"Sedgwick County, Kansas",5852,801,66,42,266,420,670,609,349,544,767,180,535,131,0,472,0,2016,Other
20209,"Wyandotte County, Kansas",3714,264,78,292,120,661,19,171,304,314,232,533,222,398,0,31,75,2016,Other
