Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US26163,26163,"Wayne County, Michigan",8434,1599,887,402,204,231,489,372,744,462,896,486,967,640,503,359,566,392,559,434,996,534,487,411,420,302,328,296,138,173,175,212,75,117
0500000US27053,27053,"Hennepin County, Minnesota",4942,1004,597,606,362,278,63,104,654,516,658,413,663,547,199,314,427,320,68,109,147,242,520,328,185,181,58,93,61,109,211,166,69,115
0500000US29095,29095,"Jackson County, Missouri",6757,1168,1491,709,689,462,338,269,149,172,1005,555,353,385,445,327,113,181,697,487,816,474,314,218,60,100,287,295,0,259,0,259,0,259
0500000US32003,32003,"Clark County, Nevada",37461,3405,2912,980,1809,861,1777,645,3550,1069,2125,846,3591,1297,1454,618,2754,937,2220,1068,2348,684,5117,1400,4852,1079,1283,686,984,765,350,314,335,291
0500000US34003,34003,"Bergen County, New Jersey",11955,1536,77,128,713,539,766,586,775,521,890,557,726,509,529,390,1187,672,434,312,631,408,446,377,1136,505,1336,795,423,299,889,571,997,645
0500000US34007,34007,"Camden County, New Jersey",12568,1358,1383,523,1712,740,619,386,402,303,712,484,711,531,879,492,760,532,342,346,689,399,934,542,1552,693,1041,528,505,406,256,268,71,117
0500000US34013,34013,"Essex County, New Jersey",14587,2100,1749,745,1836,858,880,502,1858,707,469,345,948,506,632,483,833,483,50,83,963,493,1500,711,1138,597,534,365,473,353,340,320,384,345
0500000US34017,34017,"Hudson County, New Jersey",33793,2174,3302,1225,2651,938,2137,676,1654,624,1534,667,2332,858,2128,914,1958,794,1372,663,4017,1105,3119,944,3428,963,2279,971,634,458,420,306,828,563
0500000US34023,34023,"Middlesex County, New Jersey",6802,1214,316,222,94,114,681,476,255,335,203,172,453,280,282,259,47,78,295,281,791,469,989,487,772,493,921,379,48,81,387,435,268,298
0500000US34031,34031,"Passaic County, New Jersey",16946,1839,2383,1109,627,420,1684,793,2750,863,1492,794,1186,613,996,587,915,600,1271,626,1058,548,1241,618,375,309,330,269,435,379,151,179,52,87
0500000US34039,34039,"Union County, New Jersey",19586,1918,2188,836,345,318,1108,580,1290,641,699,496,1205,506,1475,748,1186,537,1836,939,2284,809,1388,659,2243,766,1361,681,262,275,648,372,68,114
0500000US35001,35001,"Bernalillo County, New Mexico",36353,3133,4463,1369,3063,1004,3050,1202,1395,605,1736,827,2484,1067,2292,859,2749,980,1382,586,2989,1068,3520,1164,4206,1117,883,514,1381,693,502,449,258,280
0500000US35049,35049,"Santa Fe County, New Mexico",3831,1035,628,459,378,276,111,107,33,39,374,323,28,34,426,340,339,248,145,143,241,171,290,213,427,247,182,172,106,124,41,68,82,100
0500000US35061,35061,"Valencia County, New Mexico",8670,1228,2033,799,704,487,774,483,561,503,355,329,721,538,775,466,388,369,380,362,207,285,809,610,534,420,277,293,0,285,152,221,0,285
0500000US36005,36005,"Bronx County, New York",144126,4271,27723,2992,15072,2097,13735,2109,9884,1586,10085,1871,7921,1629,7162,1585,6630,1404,6005,1354,10133,1787,10511,2040,9981,1811,4933,1355,1995,727,1565,817,791,418
0500000US36047,36047,"Kings County, New York",62209,3515,8979,1699,4419,1055,5066,1343,5628,1157,3985,1091,3324,1040,3721,938,4650,1337,2458,969,4737,1085,3991,1259,4396,1085,2788,939,1941,890,1496,638,630,338
0500000US36055,36055,"Monroe County, New York",5323,1072,989,514,476,422,356,267,366,307,173,187,405,278,313,322,377,312,422,353,213,253,325,257,261,238,526,446,0,275,121,197,0,275
0500000US36059,36059,"Nassau County, New York",20297,2184,785,565,441,422,1416,860,595,452,1002,648,412,343,1379,826,1364,645,1021,640,1694,855,2632,1045,2359,965,1826,882,1096,494,1567,652,708,565
0500000US36061,36061,"New York County, New York",52712,3290,8565,1398,4949,1409,4058,1143,4766,1179,3261,1049,2781,822,1876,724,3135,1066,1887,945,3665,976,4367,1122,4387,1100,1812,810,1440,712,590,454,1173,673
0500000US36071,36071,"Orange County, New York",7078,1208,193,259,205,211,440,352,438,323,361,280,587,426,734,550,287,292,158,245,87,138,283,258,1135,780,536,432,674,450,467,461,493,362
0500000US36081,36081,"Queens County, New York",76343,3512,5865,1287,2680,948,4721,1276,4536,1252,3412,1184,4069,1050,3176,992,4454,1284,4035,1067,7627,1472,7969,1559,9561,1611,6833,1584,3489,1043,2720,890,1196,568
