CountyID,CountyName,TotalPopulation,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Year,Race
17043,"DuPage County, Illinois",5214,542,0,213,249,658,576,319,410,246,262,756,215,478,165,0,125,2013,Other
17089,"Kane County, Illinois",17123,427,389,1731,775,1369,1499,872,1422,873,1976,2004,2486,428,414,242,216,2013,Other
17197,"Will County, Illinois",11689,398,310,1057,740,509,975,1036,594,1187,1435,684,1863,52,268,441,140,2013,Other
18089,"Lake County, Indiana",11754,665,1013,1329,402,722,1315,1018,73,460,718,1624,1396,508,354,0,157,2013,Other
18097,"Marion County, Indiana",13408,1914,1113,1331,1736,899,1557,754,1043,702,1162,135,634,234,47,102,45,2013,Other
24031,"Montgomery County, Maryland",18862,459,127,659,808,1208,1086,1116,806,1249,2236,2460,2674,1255,1392,1154,173,2013,Other
24033,"Prince George's County, Maryland",16395,95,421,313,604,591,518,950,995,999,1831,3219,3126,1098,861,459,315,2013,Other
25005,"Bristol County, Massachusetts",8288,1623,983,1192,466,562,449,74,193,712,721,394,403,476,40,0,0,2013,Other
25009,"Essex County, Massachusetts",21253,2266,2231,1070,1685,1238,2044,1527,786,872,1441,2182,2471,349,631,339,121,2013,Other
25013,"Hampden County, Massachusetts",13470,3887,1874,1649,411,540,1450,1002,274,300,467,224,742,479,46,0,125,2013,Other
25017,"Middlesex County, Massachusetts",10877,1444,1771,940,987,216,911,672,101,612,636,462,837,491,438,274,85,2013,Other
25025,"Suffolk County, Massachusetts",20792,3014,1767,1886,1525,1262,1170,1033,711,1066,1220,1888,2123,937,275,483,432,2013,Other
25027,"Worcester County, Massachusetts",7631,739,564,509,737,753,964,331,258,337,687,474,967,48,0,193,70,2013,Other
26163,"Wayne County, Michigan",8790,933,442,864,468,797,909,937,724,299,816,703,600,158,0,140,0,2013,Other
27053,"Hennepin County, Minnesota",8899,659,552,659,827,490,838,1029,436,694,614,465,1085,176,213,45,117,2013,Other
29095,"Jackson County, Missouri",8350,1055,745,900,574,1037,736,621,525,212,523,1009,306,61,0,0,46,2013,Other
32003,"Clark County, Nevada",58613,5285,3950,3802,3793,4758,3854,4219,4988,2345,5602,5116,6031,3128,850,747,145,2013,Other
32031,"Washoe County, Nevada",5505,393,606,516,528,333,210,138,192,241,666,593,730,207,59,33,60,2013,Other
34003,"Bergen County, New Jersey",18205,1277,1261,927,1036,775,482,381,428,1389,1838,1537,3351,619,943,1407,554,2013,Other
34007,"Camden County, New Jersey",11905,1959,682,1328,1194,448,458,377,487,555,371,740,1580,1253,65,408,0,2013,Other
34013,"Essex County, New Jersey",23873,2958,1172,1866,2646,2070,937,1561,1228,896,1768,1124,2261,2253,683,228,222,2013,Other
34017,"Hudson County, New Jersey",25693,2898,1782,1822,2087,1098,1502,957,1333,1535,3133,2057,2437,635,1724,522,171,2013,Other
34021,"Mercer County, New Jersey",6882,521,516,500,122,605,53,185,354,358,1058,927,723,493,56,328,83,2013,Other
34023,"Middlesex County, New Jersey",10247,618,649,898,537,401,792,692,623,472,559,885,890,1080,571,224,356,2013,Other
34025,"Monmouth County, New Jersey",5077,379,124,94,416,590,63,330,427,606,652,328,315,379,54,181,139,2013,Other
34031,"Passaic County, New Jersey",14739,1101,1911,1452,1045,1192,554,607,450,749,461,1404,1393,1081,673,312,354,2013,Other
34039,"Union County, New Jersey",21977,1648,594,1700,2295,1088,1788,1507,1201,946,2321,1983,1500,1495,1043,674,194,2013,Other
35001,"Bernalillo County, New Mexico",20096,2588,1367,1964,1598,1363,1730,925,943,807,1721,1979,1316,814,512,238,231,2013,Other
35043,"Sandoval County, New Mexico",4126,422,329,134,117,255,248,313,120,117,565,645,248,164,100,251,98,2013,Other
35049,"Santa Fe County, New Mexico",5404,851,268,324,385,190,138,535,265,459,501,425,514,100,132,213,104,2013,Other
36005,"Bronx County, New York",169830,32810,18463,13800,12116,10483,11524,8710,6971,7034,13746,12319,11014,5477,2014,2099,1250,2013,Other
36029,"Erie County, New York",7959,2331,195,637,1230,235,316,183,406,505,280,863,367,249,113,0,49,2013,Other
36047,"Kings County, New York",66664,10389,5715,4385,4816,4591,4074,2973,3150,2602,4810,6040,5990,2638,2126,1316,1049,2013,Other
36055,"Monroe County, New York",5657,697,766,387,1115,477,67,459,241,218,194,99,98,304,111,350,74,2013,Other
36059,"Nassau County, New York",18309,582,330,713,987,1119,883,704,771,1202,1153,1673,2152,2428,1791,1184,637,2013,Other
36061,"New York County, New York",60004,10992,6940,4911,4284,3183,4581,2303,2552,1443,5565,4658,4650,2030,498,636,778,2013,Other
36071,"Orange County, New York",9234,810,345,738,216,192,676,571,278,663,738,1732,847,421,347,618,42,2013,Other
36081,"Queens County, New York",71334,5694,3176,5240,3862,3604,4095,3156,3901,4015,6573,6397,8631,5735,2717,3035,1503,2013,Other
36085,"Richmond County, New York",5169,638,429,525,461,247,150,372,501,95,436,127,302,375,81,430,0,2013,Other
36087,"Rockland County, New York",5387,512,471,31,772,230,178,428,306,71,282,178,846,261,334,176,311,2013,Other
36103,"Suffolk County, New York",16096,489,774,811,437,1246,763,496,859,610,830,1582,2301,2885,1048,537,428,2013,Other
36119,"Westchester County, New York",28529,1011,1668,1455,2182,1934,1360,1711,1451,551,2704,4114,3425,2137,1449,971,406,2013,Other
37119,"Mecklenburg County, North Carolina",11267,253,173,708,723,1481,1505,687,692,412,1965,768,506,778,436,132,48,2013,Other
