Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US04013,4013,"Maricopa County, Arizona",93671,4023,8429,1278,5754,1343,5011,1186,5977,1226,5884,1363,6246,1169,5717,1359,7091,1444,5034,1187,10238,1701,9917,1482,9587,1459,4617,1165,2238,779,1090,497,841,439
0500000US04019,4019,"Pima County, Arizona",29588,2836,2536,1033,2822,1148,3025,972,2267,857,2145,557,1857,832,1323,505,2151,770,1549,790,2613,1058,2437,868,2855,1085,549,294,448,320,704,532,307,289
0500000US04021,4021,"Pinal County, Arizona",4167,1066,244,220,582,434,238,193,452,332,156,159,211,271,472,425,168,169,208,216,457,354,399,329,257,206,93,86,183,266,47,78,0,204
0500000US04027,4027,"Yuma County, Arizona",22780,2113,1116,588,1306,637,1918,806,1018,517,2327,1008,1363,798,1093,677,2114,1213,920,523,1994,831,2366,930,3879,1314,302,320,532,488,204,248,328,339
0500000US06001,6001,"Alameda County, California",41898,2818,1650,650,1709,677,989,612,1537,649,1595,698,1473,528,1996,632,1228,547,1313,582,3479,701,5180,1133,8235,1505,5167,1113,2438,930,2377,768,1532,574
0500000US06013,6013,"Contra Costa County, California",25867,2893,343,202,537,514,1305,715,1021,594,954,631,1663,879,1542,655,1757,743,1034,657,2022,1013,3539,1005,4020,1143,2225,802,1579,762,1187,612,1139,677
0500000US06019,6019,"Fresno County, California",38745,2942,3614,1007,3433,1119,2759,889,3792,1287,2944,1002,3162,927,2756,855,1901,591,1196,545,2543,729,3301,841,3529,951,2242,834,708,467,487,312,378,307
0500000US06025,6025,"Imperial County, California",11253,1427,1100,542,1129,530,865,501,215,191,450,314,475,388,237,245,502,298,492,409,1423,635,1472,633,1495,674,710,439,356,328,212,182,120,145
0500000US06029,6029,"Kern County, California",27881,2234,2296,1006,1506,606,1224,556,1857,780,1864,781,3375,1220,1263,617,1217,587,739,405,2685,684,3551,878,2455,1050,2301,1064,575,452,774,448,199,203
0500000US06031,6031,"Kings County, California",5554,1023,370,350,300,230,172,206,492,308,484,505,491,394,241,275,673,490,58,72,349,352,806,473,680,385,423,404,0,206,15,27,0,206
0500000US06037,6037,"Los Angeles County, California",558430,8498,31724,2400,31847,2793,31559,2583,37218,2754,33703,2643,31693,2711,32204,2552,32673,2692,29632,2839,47695,3448,60680,3889,66465,4082,41338,3290,21644,2281,19440,2507,8915,1501
0500000US06039,6039,"Madera County, California",5872,1130,369,342,363,365,349,295,634,499,437,428,130,150,508,390,254,258,428,491,485,338,840,585,457,359,355,369,132,155,69,115,62,76
0500000US06047,6047,"Merced County, California",19402,1674,1107,601,1014,584,1803,697,1951,929,1332,634,1504,791,1740,855,938,459,1232,538,1609,690,1710,657,2055,730,669,406,389,277,290,308,59,101
0500000US06053,6053,"Monterey County, California",28024,1949,1188,574,482,281,770,487,1668,725,1478,665,2463,710,1512,639,1704,746,2014,808,3681,955,4391,1044,2976,983,1580,613,494,333,1181,517,442,409
0500000US06059,6059,"Orange County, California",75674,4367,2790,664,1419,790,2102,798,3942,1107,4062,1043,4291,1169,4024,1095,4649,1202,3973,1128,7723,1544,10124,1693,10145,1567,7798,1776,3482,1054,3561,1100,1589,648
0500000US06065,6065,"Riverside County, California",127970,5124,10708,1732,5586,1245,7042,1525,8622,1555,9149,2049,6505,1431,6374,1243,7182,1546,5607,1209,10738,2107,15977,2135,15558,2183,7229,1620,6427,1267,2702,874,2564,1035
0500000US06067,6067,"Sacramento County, California",31797,2462,2009,698,2313,835,1553,641,1785,696,2180,828,2265,844,2085,775,1699,650,1989,788,3761,1077,3359,857,2402,660,2396,703,1099,465,567,292,335,377
0500000US06071,6071,"San Bernardino County, California",85645,3658,5171,1386,3660,1087,4083,1178,5730,1289,4062,1136,4635,1406,5301,1188,4099,1125,4602,1094,7801,1475,10583,1514,10346,1589,6750,1488,3895,1081,3887,1046,1040,653
0500000US06073,6073,"San Diego County, California",40885,3022,1678,529,1382,495,2673,765,2415,827,1891,753,2802,784,2001,608,2959,866,1294,514,3462,872,5698,1340,6084,1224,2858,732,1832,735,1255,510,601,327
0500000US06075,6075,"San Francisco County, California",18942,1994,1047,686,1361,692,581,429,1034,710,921,549,942,681,583,348,351,319,842,580,1381,624,1829,663,1883,747,2115,885,1718,753,1364,768,990,534
0500000US06077,6077,"San Joaquin County, California",19419,2247,684,391,722,354,936,545,1609,675,1106,539,1289,721,680,358,1184,627,1265,527,1887,587,2541,722,1983,643,1923,585,722,602,484,254,404,311
0500000US06081,6081,"San Mateo County, California",20522,2080,335,308,709,490,324,251,865,569,754,575,1476,982,418,409,1156,722,1611,862,2133,1030,2455,876,3532,1224,1112,432,1232,642,1087,676,1323,623
0500000US06083,6083,"Santa Barbara County, California",10873,1920,393,323,313,276,562,391,498,336,313,273,717,482,540,414,868,545,482,312,1194,831,1433,631,1937,715,652,373,397,355,425,335,149,154
0500000US06085,6085,"Santa Clara County, California",52116,2938,1724,701,1869,669,2094,968,2561,1172,1859,843,2740,1034,2802,859,3286,1023,1856,874,3579,907,5027,1312,7951,1472,4712,1244,4698,1183,3246,948,2112,601
0500000US06087,6087,"Santa Cruz County, California",9842,1712,470,401,312,268,464,504,986,688,540,647,1074,808,394,360,415,505,527,384,822,538,713,446,1380,752,617,291,871,588,78,129,179,213
0500000US06095,6095,"Solano County, California",11536,1586,696,466,434,440,125,159,914,685,960,753,522,422,240,188,227,287,704,464,731,463,2609,907,1581,668,543,336,539,456,460,354,251,261
0500000US06097,6097,"Sonoma County, California",15245,1679,373,319,420,395,685,613,310,268,905,624,744,535,689,518,502,381,1061,764,1968,984,2151,903,2617,984,1124,776,681,515,686,397,329,296
