CountyID,CountyName,TotalPopulation,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999"," $100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Year,Race
5143,"Washington County, Arkansas",64019,4883,4463,3113,4157,4721,5182,2942,3879,2314,5516,6588,6989,3575,2372,1536,1789,2008,White
5145,"White County, Arkansas",26237,2929,2026,1580,2123,1127,1714,1478,1842,1098,1985,2860,2528,1776,651,371,149,2008,White
6001,"Alameda County, California",278227,10054,9148,9425,10770,8242,10570,9986,10454,9788,19017,26025,37164,27702,23240,26733,29909,2008,White
6007,"Butte County, California",77237,6147,7201,4477,5547,4651,5903,3515,4354,3923,6823,6071,7547,5075,2423,1964,1616,2008,White
6013,"Contra Costa County, California",257632,9458,8285,10093,6533,8898,7551,9593,8943,8317,15728,22120,34235,31596,20154,25725,30403,2008,White
6017,"El Dorado County, California",58826,1673,2238,2442,2350,2050,2953,2130,1836,1629,5269,8358,7558,7927,2969,4371,3073,2008,White
6019,"Fresno County, California",183655,10390,11494,12206,11178,9698,10626,11378,8445,8054,13820,16239,21690,15855,8516,7392,6674,2008,White
6023,"Humboldt County, California",46343,3971,4860,2963,4167,2109,2239,2911,2469,2134,3293,5321,3822,3145,918,929,1092,2008,White
6025,"Imperial County, California",38706,3568,3161,4262,3133,2348,2334,1733,1909,1755,2455,3390,3983,2087,867,1214,507,2008,White
6029,"Kern County, California",180945,13107,12783,10835,10637,12100,10022,9916,9490,6805,14263,17080,20177,13703,7808,7701,4518,2008,White
6031,"Kings County, California",31602,1575,1620,1707,1248,1792,1394,2013,1679,1995,3243,2950,4109,3585,1210,1094,388,2008,White
6033,"Lake County, California",21193,1698,1509,1416,1922,1146,966,1881,979,795,2285,1913,2115,1067,650,497,354,2008,White
6037,"Los Angeles County, California",1813844,94988,95638,87867,90678,79786,80192,72365,74131,69285,128374,177243,223095,163324,101110,123224,152544,2008,White
6039,"Madera County, California",35112,1937,2169,2309,2177,1305,778,2756,2170,1765,4053,3341,4591,2190,1117,639,1815,2008,White
6041,"Marin County, California",86427,3702,2512,1297,2676,2496,2100,1656,2113,3207,4336,7822,8969,10850,6597,10504,15590,2008,White
6045,"Mendocino County, California",30613,1683,2961,2255,2240,1372,1443,1192,1941,1120,2918,3248,3509,1810,830,1277,814,2008,White
6047,"Merced County, California",49896,3851,3257,3692,2918,2984,2153,2490,2806,2007,3931,6163,6615,2889,1736,1263,1141,2008,White
6053,"Monterey County, California",98471,3709,4603,3838,5100,5318,4444,3684,4268,4469,9266,11268,13576,8640,6226,5297,4765,2008,White
6055,"Napa County, California",41519,1184,1663,1323,2783,1762,2098,2330,1299,1447,3289,4346,5201,4635,2501,2880,2778,2008,White
6057,"Nevada County, California",39151,1693,2350,1401,2153,2744,1330,1924,2792,2022,2517,4796,4913,4067,1999,1444,1006,2008,White
6059,"Orange County, California",681779,23860,20905,22794,24509,21619,22314,22158,26117,24469,46796,68584,92444,72886,48107,67457,76760,2008,White
6061,"Placer County, California",113019,5540,3888,2499,3956,4021,3889,4309,4072,3907,8433,11298,18436,13519,8824,9352,7076,2008,White
6065,"Riverside County, California",470697,19996,24366,21287,28019,23868,23816,20943,19161,17711,38275,50876,64013,44323,27319,25688,21036,2008,White
6067,"Sacramento County, California",340871,11290,14904,13949,16884,13880,17164,18584,15293,15624,27614,41122,49772,32728,20394,18016,13653,2008,White
6071,"San Bernardino County, California",386699,17924,20645,17483,20240,17880,20686,15991,19363,16217,33638,45959,53661,35481,19264,19548,12719,2008,White
6073,"San Diego County, California",807177,40964,32944,36152,37807,33715,30904,33080,35083,33039,59169,80300,112412,79081,48504,59551,54472,2008,White
6075,"San Francisco County, California",207782,11655,7752,7040,5879,4637,3830,5046,8219,5707,9553,19954,23851,22005,13361,19743,39550,2008,White
6077,"San Joaquin County, California",137381,7721,8168,5440,9124,4942,6974,5955,5629,5809,11907,13975,19545,14400,5970,8355,3467,2008,White
6079,"San Luis Obispo County, California",91535,4914,4117,4062,5240,3279,4835,3161,4494,2748,6897,11989,12858,10430,3829,5383,3299,2008,White
6081,"San Mateo County, California",170857,5939,4811,5178,5811,4618,5303,4377,6599,4202,11936,15107,22104,18547,12001,16889,27435,2008,White
6083,"Santa Barbara County, California",114967,5604,5490,5033,4948,5003,4210,5180,4447,6313,8935,11487,15949,10825,6883,7155,7505,2008,White
6085,"Santa Clara County, California",343417,10836,10106,8644,10528,9638,11627,11092,10995,9436,23037,30379,46325,37191,27022,35934,50627,2008,White
6087,"Santa Cruz County, California",83757,4282,3926,4452,3267,3445,2818,2323,2658,3313,6691,8048,10870,8687,4662,6605,7710,2008,White
6089,"Shasta County, California",63363,5603,5882,2833,4571,3380,3062,4280,2684,3163,4655,7018,7348,3842,2709,1255,1078,2008,White
6095,"Solano County, California",79461,2724,3277,2159,2334,2969,2885,2869,3619,3051,5254,9347,11323,9489,6876,7140,4145,2008,White
6097,"Sonoma County, California",158852,7185,5542,7777,7942,6692,7345,6664,7384,5981,12346,16446,22300,15560,9987,10701,9000,2008,White
6099,"Stanislaus County, California",133517,6560,7264,9085,7335,7679,8239,6579,5995,8856,10355,14620,16039,9652,5930,5704,3625,2008,White
6101,"Sutter County, California",22944,834,2258,1053,1397,1426,1421,601,441,1066,2955,3469,2283,1825,508,817,590,2008,White
6107,"Tulare County, California",101399,7170,5945,5970,8372,5662,5250,5784,5297,4072,8708,12010,11204,6458,4050,3370,2077,2008,White
6111,"Ventura County, California",189861,6487,6158,5494,6627,6757,6480,5032,6336,6414,13258,18931,24539,25995,15453,18557,17343,2008,White
6113,"Yolo County, California",50503,3383,1783,2539,2095,2598,1606,1907,2036,2457,3335,5859,6017,4893,3395,3953,2647,2008,White
6115,"Yuba County, California",18516,846,1407,1150,908,1369,1181,496,580,543,1665,2220,2198,2013,722,927,291,2008,White
8001,"Adams County, Colorado",122208,5555,5067,4565,5495,3554,6038,6561,5898,7468,12519,14159,17239,13727,6871,4624,2868,2008,White
8005,"Arapahoe County, Colorado",173041,8817,6744,6382,7965,7198,8400,7097,7180,7691,14742,20404,23346,16450,9301,9663,11661,2008,White
8013,"Boulder County, Colorado",106632,5103,3402,5129,3870,4760,4630,3385,2748,4265,8360,11904,13522,10565,6766,8880,9343,2008,White
8031,"Denver County, Colorado",198748,16627,12933,10092,12403,11240,10323,8894,9361,7253,15319,18599,23091,12988,8511,9275,11839,2008,White
8035,"Douglas County, Colorado",89207,1919,616,1008,1542,2567,2154,2178,2093,3655,5448,9772,12332,14227,10697,10088,8911,2008,White
8041,"El Paso County, Colorado",189060,8843,6944,7429,8481,8598,8695,9910,8654,8627,15482,24917,26482,17563,10930,9262,8243,2008,White
8059,"Jefferson County, Colorado",197988,8348,5258,7291,8088,6490,9518,9022,7879,8375,15173,21295,30051,21141,12682,13432,13945,2008,White
8069,"Larimer County, Colorado",110145,7542,5498,4415,4456,5402,5775,4467,5594,4414,9498,10861,14207,9683,7194,5312,5827,2008,White
8077,"Mesa County, Colorado",52214,2960,2166,2558,2157,3304,2089,3020,2689,2314,4915,7077,7345,3808,2728,1505,1579,2008,White
8101,"Pueblo County, Colorado",53364,4508,3746,3096,3337,2724,3264,3446,2565,3561,4293,6515,7345,2136,1172,448,1208,2008,White
8123,"Weld County, Colorado",79515,3152,4005,4077,5219,2945,3967,3682,3258,5454,6595,10185,11110,7792,3029,2823,2222,2008,White
9001,"Fairfield County, Connecticut",265428,11718,6878,8898,6813,8767,7372,7143,6331,7321,15149,20574,33591,27020,21192,26327,50334,2008,White
9003,"Hartford County, Connecticut",267645,13194,10328,10515,11851,8489,8931,10594,10118,8087,19988,29561,39335,29064,19707,19760,18123,2008,White
9005,"Litchfield County, Connecticut",71549,2019,3378,2807,2800,2320,2355,2163,3454,3238,6836,8499,11718,6923,4871,4581,3587,2008,White
9007,"Middlesex County, Connecticut",61657,1904,2381,2673,2028,1852,1959,2039,2427,1670,4469,7661,8859,8022,4633,4294,4786,2008,White
9009,"New Haven County, Connecticut",258155,12852,11068,10530,11435,9519,10299,10803,10865,9730,18604,27536,36065,27321,18110,16665,16753,2008,White
9011,"New London County, Connecticut",90155,3055,3959,2472,3466,2707,3924,3094,4153,3491,7646,10747,15869,8397,7173,5469,4533,2008,White
9013,"Tolland County, Connecticut",50671,1393,1517,1531,1495,1952,1501,1667,2401,1738,2876,6651,8543,6957,3660,3946,2843,2008,White
9015,"Windham County, Connecticut",39990,2226,1554,2504,1955,2460,1914,2112,1820,1517,3751,4777,5084,3655,1873,1691,1097,2008,White
10001,"Kent County, Delaware",43098,1161,1236,1820,1217,2571,2677,2783,2427,2227,4232,5654,7052,4055,1574,1483,929,2008,White
10003,"New Castle County, Delaware",142079,6780,5128,4874,4587,5657,5531,4795,7127,5215,10785,16956,20744,15487,10405,9946,8062,2008,White
10005,"Sussex County, Delaware",62687,2732,3315,3143,3779,3991,3282,3609,3754,3458,5609,7211,7524,5188,1394,2522,2176,2008,White
11001,"District of Columbia, District of Columbia",102601,4809,1787,2319,1780,1812,1807,2119,3286,2403,7140,8286,13154,10343,8026,12660,20870,2008,White
12001,"Alachua County, Florida",75201,9034,4233,3499,3173,3035,3928,4067,3849,4178,6200,6061,8977,5307,3989,2497,3174,2008,White
12005,"Bay County, Florida",59930,2784,3813,4496,2588,2867,4317,3648,3600,3090,5620,7928,6593,3730,1340,2283,1233,2008,White
12009,"Brevard County, Florida",190520,10562,10260,9769,12097,11968,9772,10449,9479,8621,18146,22351,25177,12169,7307,6910,5483,2008,White
12011,"Broward County, Florida",485450,29713,25069,27310,27403,22221,25285,20832,22136,21284,39171,49163,55831,43242,22097,27844,26849,2008,White
12015,"Charlotte County, Florida",67452,3378,3540,4008,4391,3889,4468,4061,3598,4823,7494,7550,6883,3476,1886,2819,1188,2008,White
12017,"Citrus County, Florida",53028,4175,4238,3610,3749,4962,3582,3398,3733,2430,4777,4939,4297,2209,1285,796,848,2008,White
12019,"Clay County, Florida",57177,2643,1407,1914,1739,2451,2934,2548,3283,2749,5276,8581,8230,6182,3062,2469,1709,2008,White
12021,"Collier County, Florida",109221,5074,3001,4210,6025,5365,4875,5191,5354,5211,6976,12217,13561,9521,6412,5429,10799,2008,White
12023,"Columbia County, Florida",20251,1650,1199,1206,1558,1204,1270,2045,1468,958,2058,1150,2102,1573,395,367,48,2008,White
12031,"Duval County, Florida",222984,12273,9154,8204,8118,11034,12353,12475,10794,10390,21178,26116,32352,17909,10836,11022,8776,2008,White
12033,"Escambia County, Florida",86144,3818,4429,5904,5400,4433,5287,5611,4772,3430,8449,10098,10727,5687,2948,3227,1924,2008,White
12035,"Flagler County, Florida",31898,1759,1264,1761,1132,2356,2308,1451,2719,1750,3351,3828,4241,2143,648,543,644,2008,White
12053,"Hernando County, Florida",63374,4747,3100,2887,6024,5586,5947,3673,4093,4046,5862,5996,5188,3014,1743,470,998,2008,White
12055,"Highlands County, Florida",34804,3708,2485,2980,3435,3295,2792,2589,1609,1127,3178,2690,2560,1309,566,294,187,2008,White
12057,"Hillsborough County, Florida",359199,21518,17554,17107,19723,18816,17698,17319,19815,16989,31645,37329,46212,27174,17128,16000,17172,2008,White
12061,"Indian River County, Florida",54195,3697,2667,2503,3731,3638,3090,2688,3102,2595,3875,5605,5469,3827,2116,2042,3550,2008,White
12069,"Lake County, Florida",107461,5994,5759,6138,7703,6584,6600,7030,7956,6470,10403,11189,11506,6441,3232,2722,1734,2008,White
12071,"Lee County, Florida",216235,11666,10271,11425,11850,10327,11028,11315,13083,10736,21492,25314,27861,16368,7331,6200,9968,2008,White
12073,"Leon County, Florida",73269,5583,1785,2995,3527,2743,3108,5223,2956,3662,7441,7180,10465,6486,3565,3180,3370,2008,White
12081,"Manatee County, Florida",115820,6460,6643,5359,8465,7213,5897,5103,7747,5850,8121,12845,13390,10015,3981,4100,4631,2008,White
12083,"Marion County, Florida",117333,9727,6843,6442,8660,8393,10190,7128,7614,5677,11269,12924,10732,5229,2270,1986,2249,2008,White
12085,"Martin County, Florida",53388,3066,2733,3432,2781,3142,3593,1772,2199,1893,4877,4595,6500,3039,2718,2685,4363,2008,White
12086,"Miami-Dade County, Florida",641349,62415,47020,39936,33544,32162,36151,28933,32673,22864,50079,57425,67589,43228,24922,28472,33936,2008,White
12087,"Monroe County, Florida",27257,1917,1165,1175,1358,1390,1811,1613,1028,878,2486,2920,3001,2227,1256,1358,1674,2008,White
12089,"Nassau County, Florida",21731,434,873,1125,1342,634,256,986,1212,1250,2495,3022,3450,1932,1022,1127,571,2008,White
12091,"Okaloosa County, Florida",61430,2818,2709,3406,2492,2609,3529,2866,2746,3234,5257,8541,8652,5223,2936,2807,1605,2008,White
12095,"Orange County, Florida",273382,14589,11687,13958,13342,12253,12396,14570,14980,11280,27808,30112,33424,22787,12523,14273,13400,2008,White
12097,"Osceola County, Florida",75178,4236,2460,3932,6885,3842,6818,3720,3715,4349,6476,10260,8742,4683,2163,1684,1213,2008,White
12099,"Palm Beach County, Florida",421994,24011,20453,21217,25781,18976,18926,21675,21689,15778,34950,40275,52538,33219,21311,20062,31133,2008,White
12101,"Pasco County, Florida",166815,11265,13993,10862,13027,12231,11059,7187,9107,7769,13545,16719,16939,10942,6348,3663,2159,2008,White
12103,"Pinellas County, Florida",347567,20252,17588,20677,22418,22040,19832,20163,19844,18054,34248,35600,39887,21207,11968,11274,12515,2008,White
12105,"Polk County, Florida",183997,10561,10879,11614,12388,11295,9660,13676,9108,7830,17522,19101,24879,12534,4692,3891,4367,2008,White
12107,"Putnam County, Florida",22937,2576,2229,960,1660,1535,1250,1620,1194,434,2209,3024,2062,1246,254,372,312,2008,White
12109,"St. Johns County, Florida",62749,2666,2143,2098,2080,2078,3195,2265,3068,1621,5652,7367,9604,5667,3846,3570,5829,2008,White
12111,"St. Lucie County, Florida",79358,4208,4002,3826,4136,5273,5740,5398,5184,4070,7260,9677,8767,5650,3037,1584,1546,2008,White
12113,"Santa Rosa County, Florida",46532,2078,1208,2521,2302,1618,2562,2216,2914,2970,4658,5977,6229,4473,1757,1830,1219,2008,White
12115,"Sarasota County, Florida",152829,7641,8900,8286,8408,9821,9860,7328,8960,8294,15407,14973,17302,11058,5341,4595,6655,2008,White
12117,"Seminole County, Florida",122590,4844,4343,4088,6083,7441,6586,5357,5096,4518,9883,11851,18047,11292,8205,8670,6286,2008,White
12119,"Sumter County, Florida",33470,1276,1606,2569,1144,2282,2578,1763,2778,1524,2882,4488,4471,2100,618,1328,63,2008,White
12127,"Volusia County, Florida",173005,10470,10217,10016,10729,9749,10415,9974,8556,8888,18942,19842,21784,11416,4606,3548,3853,2008,White
