GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US13113,13113,"Fayette County, Georgia",5346,606,145,153,129,135,37,62,207,289,248,327,123,137,127,119,183,184,60,102,382,307,877,625,1250,550,577,420,161,149,259,205,581,451
0500000US13121,13121,"Fulton County, Georgia",145158,3308,23079,2603,15547,3113,10075,2163,11127,2032,7631,1486,9564,1777,7312,1951,9213,1866,5897,1394,8161,1526,14337,2648,12177,2579,4078,1235,2475,863,2134,785,2351,1266
0500000US13135,13135,"Gwinnett County, Georgia",48512,2473,2671,1064,1574,884,3253,1799,1453,675,3471,941,3509,1078,3270,1303,2656,957,1938,889,4301,1352,6242,1571,7767,1657,3802,1240,465,311,1211,656,929,646
0500000US13151,13151,"Henry County, Georgia",14196,1063,631,371,316,300,481,392,728,631,745,480,1296,652,697,441,823,683,678,481,1587,678,1920,665,1397,500,1325,542,475,258,1097,591,0,297
0500000US13153,13153,"Houston County, Georgia",12491,1087,2501,1022,1352,669,1779,949,366,271,342,292,770,470,466,460,188,194,751,511,689,507,897,618,1478,662,780,525,50,94,82,129,0,297
0500000US13185,13185,"Lowndes County, Georgia",11168,916,1932,715,850,462,600,374,868,622,1215,537,1114,578,535,372,941,459,771,414,743,463,877,521,458,266,264,198,0,297,0,297,0,297
0500000US13215,13215,"Muscogee County, Georgia",31826,1354,7121,1307,3243,942,3338,947,2274,751,2563,949,2316,808,1080,549,1210,556,1174,464,2067,744,2374,900,1482,559,1029,609,314,334,48,80,193,300
0500000US13217,13217,"Newton County, Georgia",9844,1080,1358,724,864,605,44,81,372,405,482,452,681,433,849,431,699,581,446,360,2184,1039,672,478,831,533,354,459,0,297,8,15,0,297
0500000US13245,13245,"Richmond County, Georgia",36566,1333,6222,1242,3151,907,3474,1438,1902,630,3497,1210,1931,648,1866,980,2037,718,1586,592,2641,1231,4060,1248,2011,778,868,393,431,397,607,506,282,304
0500000US13247,13247,"Rockdale County, Georgia",8454,781,794,561,127,129,282,278,1258,580,456,335,856,537,451,286,489,367,95,151,708,446,916,428,1233,466,413,306,142,178,234,310,0,297
0500000US15003,15003,"Honolulu County, Hawaii",9685,1053,222,274,455,362,0,264,617,491,1359,843,874,629,892,665,311,308,232,359,1263,708,1836,1015,896,685,342,276,308,310,78,137,0,264
0500000US17019,17019,"Champaign County, Illinois",6573,740,1299,832,889,467,903,617,750,521,269,226,311,211,293,285,123,150,386,353,65,110,550,374,440,306,122,131,69,114,56,97,48,84
0500000US17031,17031,"Cook County, Illinois",478051,5843,87763,5097,39129,3823,33324,3978,30463,3329,28712,3157,32556,4612,22092,3599,24633,2579,21281,3059,37768,3645,40872,3680,39441,3611,20366,2998,10777,2343,6161,1331,2713,896
0500000US17043,17043,"DuPage County, Illinois",12306,1302,1806,1069,321,380,270,345,196,218,196,213,584,476,625,384,743,560,1717,1088,1204,724,1142,650,1738,821,1359,625,125,145,215,252,65,108
0500000US17089,17089,"Kane County, Illinois",9037,827,1799,739,751,405,886,713,424,424,377,276,251,314,320,289,550,483,172,166,335,211,811,705,936,547,841,516,256,334,209,249,119,152
0500000US17091,17091,"Kankakee County, Illinois",5622,515,1036,443,962,461,260,210,97,112,521,344,486,345,76,88,586,371,363,245,235,240,614,401,234,198,152,154,0,266,0,266,0,266
0500000US17097,17097,"Lake County, Illinois",15491,1074,2990,752,1727,795,682,553,866,525,715,384,1596,594,1053,570,506,306,359,256,1070,453,1518,656,1041,462,905,443,183,195,98,113,182,169
0500000US17115,17115,"Macon County, Illinois",6687,677,1835,661,783,430,668,363,911,417,370,326,315,236,216,199,102,129,83,142,563,452,415,290,296,212,96,108,34,56,0,266,0,266
0500000US17119,17119,"Madison County, Illinois",6254,848,1314,564,756,486,232,199,423,414,439,339,536,364,76,134,246,237,192,184,532,312,278,248,475,332,674,645,81,144,0,266,0,266
0500000US17143,17143,"Peoria County, Illinois",10560,892,2516,732,1308,520,680,343,1370,638,422,285,459,332,546,313,1081,536,77,100,810,439,534,346,304,275,341,326,42,72,70,87,0,266
0500000US17163,17163,"St. Clair County, Illinois",27715,1525,5096,1062,2216,721,2921,1347,2604,1036,2603,886,1889,801,885,472,1326,667,974,546,2180,1079,2407,953,1599,636,596,403,274,205,145,134,0,266
0500000US17167,17167,"Sangamon County, Illinois",6824,777,1762,859,921,600,418,383,899,504,177,208,621,505,63,107,0,266,684,358,198,224,369,315,303,226,53,87,225,233,131,169,0,266
0500000US17197,17197,"Will County, Illinois",21620,1289,2671,994,1679,799,822,546,1482,776,652,378,1557,891,1228,545,1846,836,747,434,1222,569,1325,591,2807,886,1143,505,1004,516,1109,707,326,329
0500000US17201,17201,"Winnebago County, Illinois",11206,861,2979,884,1211,526,1288,617,1105,614,507,415,474,296,314,288,468,337,354,292,316,206,803,439,917,438,296,247,58,98,54,71,62,109
0500000US18003,18003,"Allen County, Indiana",15917,1289,2981,984,1981,780,1464,747,1344,570,1035,607,718,405,528,352,1183,557,979,482,997,597,834,374,1455,1027,246,209,172,276,0,264,0,264
0500000US18089,18089,"Lake County, Indiana",48011,2166,8701,1676,7245,1431,3955,1123,3427,1023,1838,652,3584,1435,2671,1113,1326,556,2188,834,3887,1274,4161,1403,2979,926,1279,571,348,274,422,333,0,264
0500000US18095,18095,"Madison County, Indiana",4215,614,790,443,765,559,748,550,370,276,156,131,109,125,82,95,336,275,155,147,289,226,131,172,247,191,37,64,0,264,0,264,0,264
0500000US18097,18097,"Marion County, Indiana",88598,3017,14076,2240,8866,2023,7333,1739,7783,1569,7983,1538,5295,1222,5009,1286,4257,1021,3593,1128,6929,1694,5939,1439,6196,1827,1971,611,1989,1166,1036,505,343,243
0500000US18141,18141,"St. Joseph County, Indiana",11698,1026,2728,933,1177,585,690,395,579,457,1406,628,1346,604,1124,956,203,267,548,444,452,285,425,323,480,254,330,264,72,116,138,132,0,264
0500000US18163,18163,"Vanderburgh County, Indiana",6060,723,1409,643,410,355,812,447,488,294,550,324,451,286,165,155,304,328,130,172,758,378,112,134,253,165,31,53,48,92,139,154,0,264
0500000US19153,19153,"Polk County, Iowa",6782,768,724,347,741,444,677,379,591,289,124,192,459,366,419,295,360,388,78,92,1116,671,513,423,823,531,47,82,0,221,110,130,0,221
0500000US20091,20091,"Johnson County, Kansas",7577,1018,712,474,744,470,111,136,898,656,636,402,652,419,442,374,495,384,396,447,469,296,472,412,500,406,289,331,270,165,450,325,41,75
0500000US20173,20173,"Sedgwick County, Kansas",16759,1142,4324,1035,1151,763,1122,528,1073,544,600,337,1486,660,1414,614,1077,470,481,295,1145,574,660,360,1103,537,420,363,512,402,147,238,44,74
