Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US01015,1015,"Calhoun County, Alabama",8912,889,953,421,1105,609,1335,584,574,317,286,190,343,283,318,225,453,328,155,174,550,379,925,575,1147,445,481,387,87,131,152,130,48,74
0500000US01055,1055,"Etowah County, Alabama",6146,763,1298,553,717,512,588,448,785,370,328,248,104,149,171,152,115,129,121,164,457,321,836,624,461,410,0,195,122,159,0,195,43,69
0500000US01069,1069,"Houston County, Alabama",10353,657,1725,351,1214,297,1034,278,1005,294,744,206,800,285,540,189,639,288,277,144,607,236,534,191,580,161,239,155,198,155,188,116,29,29
0500000US01073,1073,"Jefferson County, Alabama",109168,3317,15187,1854,8485,1545,8415,1552,6656,1144,6688,1291,6826,1494,6574,1274,5858,1148,4328,1181,8162,1429,10434,1573,10232,1851,5509,1157,2711,812,2196,706,907,468
0500000US01081,1081,"Lee County, Alabama",14654,1218,1893,814,644,449,825,449,770,458,228,246,858,545,1716,1394,715,628,1203,990,1088,592,1894,1120,1255,590,1200,773,88,148,234,333,43,74
0500000US01089,1089,"Madison County, Alabama",36738,1966,5340,1264,3400,1099,2255,1010,2364,974,2330,896,1333,538,1889,958,1807,909,1055,563,2649,912,3609,1096,2487,779,1725,695,1201,585,2277,874,1017,486
0500000US01097,1097,"Mobile County, Alabama",54059,1774,8583,1421,5912,1095,5567,1302,3251,864,3960,1209,2938,924,3015,949,1948,628,2724,866,3423,1036,5386,1011,2580,740,2155,780,1155,629,1099,598,363,269
0500000US01101,1101,"Montgomery County, Alabama",52182,1908,7029,1597,4170,970,5012,1341,2966,1021,4070,1304,4208,1138,1892,676,2500,861,2090,896,4193,1155,3811,956,4828,1180,2788,1006,1394,789,789,296,442,226
0500000US01117,1117,"Shelby County, Alabama",8931,1190,517,392,290,219,315,265,145,201,757,608,491,411,759,493,147,156,282,234,776,655,532,326,1376,579,789,476,575,468,250,205,930,705
0500000US01121,1121,"Talladega County, Alabama",9925,1263,1358,691,1203,605,919,583,753,505,1207,711,876,545,250,330,306,273,656,425,1205,812,660,358,376,246,73,101,38,61,0,195,45,76
