City,Name,State,EstablishedYear,Lat,Lng,County,County_State
 Portland,French American International School,Oregon,1979,45.5230622,-122.6764815,"Multnomah County, ","Multnomah County, Oregon"
Aloha,International School of Beaverton,Oregon,2006,45.4942838,-122.8670454,"Washington County, ","Washington County, Oregon"
Charlotte,The British International School of Charlotte,South Carolina,2004,35.2270869,-80.8431267,"Mecklenburg County, ","Mecklenburg County, South Carolina"
 Wade Hampton,French Bilingual School of South Carolina,South Carolina,1979,34.9037282,-82.3331733,"Greenville County, ","Greenville County, South Carolina"
 Sweetwater,Tennessee Meiji Gakuin High School,Tennessee,1989,35.6014636,-84.4610394,"Monroe County, ","Monroe County, Tennessee"
Austin,Austin International School,Texas,2001,30.267153,-97.7430608,"Travis County, ","Travis County, Texas"
 Houston,Awty International School,Texas,1956,29.7604267,-95.3698028,"Harris County, ","Harris County, Texas"
Houston,British International School of Houston,Texas,2000,29.7604267,-95.3698028,"Harris County, ","Harris County, Texas"
Dallas,Dallas International School,Texas,1993,32.7766642,-96.7969879,"Dallas County, ","Dallas County, Texas"
 Katy,Faith West Academy,Texas,1982,29.7857853,-95.8243956,"Fort Bend County, ","Fort Bend County, Texas"
Austin,International School of Texas-Austin,Texas,2013,30.267153,-97.7430608,"Travis County, ","Travis County, Texas"
 Houston,The Village School,Texas,1966,29.7604267,-95.3698028,"Harris County, ","Harris County, Texas"
 Bellevue,French Immersion School of Washington,Washington,1999,47.6101497,-122.2015159,"King County, ","King County, Washington"
 Kirkland,International Community School,Washington,1997,47.6768927,-122.2059833,"King County, ","King County, Washington"
 Bellevue,International School,Washington,1991,47.6101497,-122.2015159,"King County, ","King County, Washington"
 Bluefield,Bluefield International Academy,West Virginia,2007,37.2698395,-81.2223195,"Mercer County, ","Mercer County, West Virginia"
Chicago,GEMS World Academy-Chicago,Illinois,2014,41.886662,-87.618771,"Cook County, ","Cook County, Illinois"
