Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US02020,2020,"Anchorage Municipality, Alaska",5943,610,287,258,323,302,352,276,279,268,97,119,90,116,687,430,167,155,421,315,623,441,393,216,1004,421,705,304,249,212,266,225,0,240
0500000US04013,4013,"Maricopa County, Arizona",34321,1884,1593,537,1172,545,680,411,1353,539,814,493,1807,651,959,569,956,466,1049,436,2030,708,4290,1025,5332,1174,5431,1213,2456,841,1733,564,2666,832
0500000US04019,4019,"Pima County, Arizona",9110,1112,1106,690,633,450,484,300,401,245,798,414,335,267,574,482,59,93,267,249,1126,775,1129,592,662,405,740,403,434,360,264,212,98,129
0500000US06001,6001,"Alameda County, California",110737,2770,5418,1256,4169,847,4001,901,3721,861,2707,810,2662,733,2717,947,3212,1012,2800,993,7371,1502,9935,1445,14740,1963,14351,1859,9512,1598,11932,1831,11489,1451
0500000US06013,6013,"Contra Costa County, California",45055,1729,1829,707,1804,777,1042,558,1380,599,841,423,734,400,1018,463,1977,771,769,552,3166,1091,4574,1216,5072,1022,5594,1058,4361,916,6161,1206,4733,1045
0500000US06019,6019,"Fresno County, California",19806,1444,1197,577,1399,618,912,467,1263,604,1118,539,851,336,857,535,760,518,926,410,1506,627,1954,755,1856,695,1877,671,1406,591,889,366,1035,465
0500000US06029,6029,"Kern County, California",7836,896,76,93,329,313,356,248,236,193,219,174,438,264,285,225,402,282,388,320,881,410,571,302,1134,509,804,357,535,305,483,310,699,362
0500000US06037,6037,"Los Angeles County, California",415019,6002,26324,2838,22972,2454,21798,2137,18207,1962,13655,1949,15746,2127,16110,2174,17774,2273,14371,1751,28845,2720,43512,3463,47939,3855,44961,3095,25677,2362,29920,1976,27208,2539
0500000US06053,6053,"Monterey County, California",8077,859,376,354,230,168,84,90,224,168,336,233,222,173,314,192,370,271,306,289,1118,498,592,291,1404,478,1005,467,420,381,566,351,510,413
0500000US06059,6059,"Orange County, California",148382,3682,8238,1443,6513,1076,5418,1119,4478,1017,4419,1127,5914,997,4243,1216,5099,993,3648,878,9258,1625,15267,1690,19953,2112,18449,2399,11394,1681,13610,1538,12481,1349
