Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US02020,2020,"Anchorage Municipality, Alaska",5956,924,252,220,542,461,375,277,344,272,230,181,366,302,423,354,115,144,261,256,420,312,436,225,805,361,530,332,294,204,438,301,125,137
0500000US04013,4013,"Maricopa County, Arizona",38485,2171,2975,1129,661,468,686,499,1940,555,1206,675,2349,860,1125,561,1777,608,958,612,3352,972,3544,847,5523,1087,4489,1252,3135,826,2226,710,2539,696
0500000US04019,4019,"Pima County, Arizona",9716,1297,920,551,447,439,60,98,889,443,488,356,242,243,500,317,386,311,396,318,492,326,973,507,1516,613,883,406,245,243,445,358,834,530
0500000US06001,6001,"Alameda County, California",124265,3180,6763,1577,5530,1165,5618,1352,4612,1249,3089,888,3070,1060,3933,1008,2173,749,2632,835,8519,1449,12605,1652,16523,1941,14246,2018,9275,1513,12549,1672,13128,1395
0500000US06013,6013,"Contra Costa County, California",45695,1976,1359,588,798,417,754,346,1700,634,958,486,1427,560,1565,660,1185,552,1236,479,2749,767,4393,996,6582,1194,5353,900,3528,908,6093,904,6015,941
0500000US06019,6019,"Fresno County, California",21731,1482,2091,808,933,441,816,484,921,415,779,385,791,555,1061,550,752,449,1207,718,2763,823,998,518,2834,766,2727,939,1134,479,1129,593,795,509
0500000US06029,6029,"Kern County, California",9965,1011,577,376,196,182,257,162,768,424,214,155,710,366,645,411,678,519,249,180,562,359,895,456,1228,517,996,515,726,434,757,378,507,311
0500000US06037,6037,"Los Angeles County, California",446567,5594,36624,2534,23768,2361,20292,1843,20226,2327,14926,1911,19416,2219,18408,2445,18765,2199,16359,1845,31213,2280,45621,3231,56079,3244,41527,2925,27974,2389,30198,2381,25171,2200
0500000US06053,6053,"Monterey County, California",8360,860,729,467,398,236,599,414,362,286,89,107,393,305,142,163,418,322,505,352,470,293,712,377,1232,555,660,301,444,285,765,416,442,277
0500000US06059,6059,"Orange County, California",162690,3694,11070,1612,7501,1384,6289,1136,4614,938,6216,1340,5221,1133,4950,952,6839,1311,5169,1283,9656,1472,14985,1902,23701,2152,17992,2071,11305,1722,13740,1683,13442,1925
0500000US06065,6065,"Riverside County, California",37228,1795,2045,783,1679,698,997,434,1404,728,1035,404,1508,715,566,282,1435,657,1406,635,3502,951,4320,1032,4456,1039,3667,1033,3175,884,4138,1046,1895,539
0500000US06067,6067,"Sacramento County, California",61093,3029,3663,1116,3627,841,2769,814,2856,855,2859,824,2354,597,2735,875,3113,850,1108,536,3902,1075,6905,1464,8646,1436,7145,1283,3913,941,4256,1044,1242,452
0500000US06071,6071,"San Bernardino County, California",36683,2065,2124,690,885,416,729,416,541,300,1061,524,2477,841,1502,633,1726,674,946,581,2903,791,3384,926,6935,1223,3892,930,2169,634,3432,963,1977,694
