Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US01073,1073,"Jefferson County, Alabama",2750,551,56,99,279,272,0,192,0,192,0,192,134,152,288,253,195,190,173,201,24,40,326,268,240,214,291,235,283,242,211,186,250,199
0500000US02020,2020,"Anchorage Municipality, Alaska",6016,885,70,120,181,181,340,293,112,185,349,362,384,322,81,133,105,121,244,211,261,260,612,413,877,508,399,330,707,385,837,516,457,389
0500000US04013,4013,"Maricopa County, Arizona",46554,2333,3790,935,1281,522,1796,684,2202,770,1226,429,1894,746,1409,500,1603,556,1104,491,3057,755,4976,1273,7542,1464,3695,839,3029,659,3915,941,4035,944
0500000US04019,4019,"Pima County, Arizona",9867,1084,1632,691,202,236,647,379,370,293,630,460,616,390,692,480,414,326,591,525,836,442,651,392,860,365,455,312,367,259,807,528,97,117
0500000US06001,6001,"Alameda County, California",136281,3185,8239,1379,5434,1230,5382,1237,3765,1151,2886,795,2914,739,2928,904,4235,892,3707,774,6407,1230,10680,1679,15834,1683,15553,1773,10931,1398,16121,1698,21265,2012
0500000US06013,6013,"Contra Costa County, California",52080,2001,1861,605,1884,606,808,381,1199,572,905,464,1365,630,1685,738,1334,536,780,364,2390,659,4217,1116,6067,1136,8588,1493,3698,946,6550,1410,8749,1303
0500000US06019,6019,"Fresno County, California",23246,1567,2535,884,1257,497,1706,687,1347,572,1314,540,1044,499,928,326,513,251,1786,867,1807,580,1897,672,2630,842,1775,566,897,356,1071,478,739,275
0500000US06029,6029,"Kern County, California",9723,1001,927,423,433,334,237,143,381,291,291,220,399,259,532,316,550,450,125,137,305,237,1048,477,2018,737,896,397,561,356,446,317,574,316
0500000US06037,6037,"Los Angeles County, California",468200,5956,32627,2720,26937,2334,20589,1843,19332,1841,18218,2228,19718,2274,17814,1934,16075,1876,16086,2030,29782,2308,46080,3222,57904,3178,45200,3455,29450,2563,36737,2574,35651,2255
0500000US06041,6041,"Marin County, California",5364,792,165,179,130,162,0,203,323,281,0,203,120,145,159,213,99,142,113,136,236,205,289,250,1062,600,396,361,611,483,452,296,1209,593
0500000US06047,6047,"Merced County, California",5347,753,368,305,278,195,364,289,235,181,220,176,179,159,955,727,149,146,135,212,471,331,647,301,389,240,321,272,103,136,403,303,130,164
0500000US06053,6053,"Monterey County, California",7981,801,499,423,544,307,199,180,194,164,101,120,236,207,364,338,347,227,822,489,718,429,686,388,1234,579,899,401,302,196,571,321,265,309
0500000US06059,6059,"Orange County, California",180498,4165,10828,1550,7331,1448,6336,1404,7284,1223,6139,1117,6346,1412,4979,997,5967,1170,6103,1315,11647,1710,15648,2050,21807,2176,20592,2172,13064,1854,16717,2021,19710,2266
0500000US06061,6061,"Placer County, California",6952,970,447,309,70,113,121,116,250,207,40,55,124,139,266,214,204,176,241,181,407,295,623,483,800,356,420,210,854,640,1214,554,871,391
0500000US06065,6065,"Riverside County, California",38039,2201,2298,750,1658,675,1319,528,1445,553,1601,639,704,380,1493,500,1991,768,1511,557,1903,646,3983,1004,4707,1118,4250,1143,4143,1026,3075,903,1958,689
0500000US06067,6067,"Sacramento County, California",65248,2363,4547,1013,4407,1067,3453,934,2279,739,3457,991,2860,777,3228,1049,2046,602,2295,804,5046,1113,6618,1249,7973,1019,5684,1003,3419,749,4112,747,3824,903
0500000US06071,6071,"San Bernardino County, California",39952,1654,1640,576,1708,541,1124,444,974,384,1984,847,1028,488,1266,517,1928,907,1788,525,3046,878,3517,883,4499,975,5775,1093,2707,747,3420,928,3548,826
0500000US06073,6073,"San Diego County, California",108747,3547,5814,1279,3454,1029,3124,971,4032,1473,3901,1108,3481,987,2924,996,4676,1012,3220,1095,7173,1289,11577,1661,12545,1908,13769,1993,8879,1586,10138,1829,10040,1796
0500000US06075,6075,"San Francisco County, California",100159,2819,8991,1391,7237,1398,4371,1175,3531,1068,3955,945,4302,1177,2726,619,2932,773,2883,878,6302,1412,7235,1344,10649,1829,7934,1234,6556,948,8366,1425,12189,1631
0500000US06077,6077,"San Joaquin County, California",26662,1488,1681,697,2362,957,1184,537,1246,425,571,351,1264,603,1414,715,718,296,1362,560,1804,613,3054,769,2822,886,3284,1013,1513,625,1622,554,761,402
0500000US06081,6081,"San Mateo County, California",63312,2397,2230,686,1150,588,1329,551,1274,551,633,306,1179,557,1604,496,1576,568,537,265,3254,968,5305,1099,11697,1457,7475,1149,5316,967,7993,1225,10760,1392
0500000US06083,6083,"Santa Barbara County, California",6682,772,528,292,666,483,189,176,24,39,150,128,130,174,502,283,340,230,148,156,556,337,442,323,668,368,587,369,494,323,619,324,639,327
0500000US06085,6085,"Santa Clara County, California",193555,2848,7767,1505,5058,1029,4821,959,4550,1005,4924,992,3096,632,3344,759,4232,905,4370,1044,7497,1321,14032,2067,18990,2061,23267,2573,17880,2088,26848,2192,42879,2576
