GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US01003,01003,"Baldwin County, Alabama",60891,2986,3838,947,3134,1084,2729,875,3260,890,3224,944,3300,964,3098,865,3922,1324,3791,1008,6548,1577,5954,1217,7073,1458,3402,919,2315,901,2815,758,2488,813
0500000US01015,01015,"Calhoun County, Alabama",36062,1366,3993,929,2650,877,3417,1025,1596,551,2003,664,1926,726,2323,875,1786,586,1571,535,2499,656,4015,1038,3848,910,2061,659,932,491,832,436,610,469
0500000US01043,01043,"Cullman County, Alabama",29006,1398,3810,1062,1907,592,2147,811,3242,994,1367,478,1601,704,1960,691,2643,926,1428,573,1494,665,1617,607,2711,922,1331,466,745,442,592,352,411,354
0500000US01049,01049,"DeKalb County, Alabama",24337,1164,2273,734,2023,549,1962,748,2037,593,1627,811,2088,780,1588,677,1116,569,861,389,2852,828,2179,676,1489,556,1186,600,519,397,119,144,418,320
0500000US01051,01051,"Elmore County, Alabama",23676,928,984,572,1041,496,583,319,1283,563,1154,484,1772,621,1022,455,985,490,921,518,2535,672,3092,911,2603,744,3125,752,1036,501,816,424,724,395
0500000US01055,01055,"Etowah County, Alabama",33698,1311,3888,937,1950,578,2585,857,2769,861,2388,643,1968,613,2938,757,1963,554,1940,722,2373,722,3351,988,2440,789,1502,601,683,487,571,302,389,322
0500000US01069,01069,"Houston County, Alabama",29222,883,2136,445,1802,450,1637,398,2073,587,1745,401,1933,459,1621,356,1377,349,1208,282,2732,475,2751,464,3769,627,2235,478,931,251,673,217,599,233
0500000US01073,01073,"Jefferson County, Alabama",144986,2989,8617,1533,7788,1463,7334,1335,7507,1295,7501,1559,7697,1325,8503,1254,7167,1311,6356,1036,10519,1670,14692,1598,17185,1748,11388,1524,7337,1185,9113,1473,6282,1082
0500000US01077,01077,"Lauderdale County, Alabama",34217,1256,3334,816,3388,1039,1925,620,2055,565,2202,702,1791,728,1987,739,1835,612,1033,502,2694,990,3662,1081,3987,924,2298,683,618,304,720,385,688,415
0500000US01081,01081,"Lee County, Alabama",40375,1308,4103,979,3709,1009,1622,633,3074,1038,2163,680,1952,858,1803,673,1978,763,1235,402,3127,827,3863,830,4733,1057,2822,710,1974,521,1358,435,859,366
0500000US01083,01083,"Limestone County, Alabama",26003,948,1044,526,1142,476,1606,538,1349,591,1461,482,1378,630,1462,547,1433,514,1267,616,2851,688,2492,722,3111,843,2517,754,1374,630,805,381,711,328
0500000US01089,01089,"Madison County, Alabama",92969,2100,5800,1111,3750,965,3804,993,4602,944,4725,1065,3780,871,4722,1069,4395,962,3435,825,6966,1198,9262,1249,11462,1583,9466,1308,5972,1006,5852,1092,4976,1037
0500000US01095,01095,"Marshall County, Alabama",33663,1437,3144,764,2444,823,2650,881,2546,949,2633,992,1210,600,2123,740,2488,854,1723,627,2520,684,2351,693,4087,1140,1642,697,1099,599,575,359,428,272
0500000US01097,01097,"Mobile County, Alabama",97567,2380,8297,1488,4834,991,6032,1291,5931,1248,5705,984,5315,1166,5666,1111,4383,1070,4138,1029,9833,1705,10162,1624,9603,1348,6596,952,3860,980,3808,785,3404,876
0500000US01101,01101,"Montgomery County, Alabama",39437,1590,2013,683,2117,682,1941,657,1017,410,1240,611,1613,609,2136,700,1921,748,1271,511,3597,904,4435,1065,5399,895,4317,982,2569,689,2279,635,1572,618
0500000US01103,01103,"Morgan County, Alabama",38793,1391,2827,973,1851,647,2831,864,1287,466,2689,883,2285,579,2497,932,1112,476,2506,935,4103,869,4067,933,4892,1049,2856,784,1066,447,1348,549,576,318
0500000US01115,01115,"St. Clair County, Alabama",29906,1285,1700,642,1592,661,1457,584,1958,795,1694,534,1720,679,1959,643,1345,532,1488,686,2748,840,3889,1016,4487,1320,2049,669,676,361,901,599,243,236
0500000US01117,01117,"Shelby County, Alabama",62060,1643,3032,809,2504,867,1402,511,3174,1016,1655,514,3404,800,2364,790,2914,837,2325,801,4660,1013,5911,949,10654,1297,6174,1215,3708,784,5203,852,2976,698
0500000US01121,01121,"Talladega County, Alabama",21279,1105,1722,761,1385,505,1912,704,1277,584,1091,439,2468,836,1273,495,1089,487,1231,616,1966,745,2190,649,1817,657,917,403,433,228,406,286,102,176
0500000US01125,01125,"Tuscaloosa County, Alabama",46769,2110,3791,927,2844,829,1927,689,2210,736,1929,660,2915,756,2834,785,3124,1021,2019,621,3325,852,5122,986,5976,1053,3706,851,1764,534,1934,592,1349,545
0500000US01127,01127,"Walker County, Alabama",21794,1209,1856,526,1875,652,1516,563,2271,750,1622,556,1496,543,1294,496,1505,607,969,553,1427,514,2502,701,1559,488,928,399,425,268,230,215,319,192
0500000US02020,02020,"Anchorage Municipality, Alaska",76715,2054,2061,735,2276,753,1800,865,2292,1021,2450,879,2939,992,1567,630,2267,696,1989,798,6038,1313,8791,1445,11684,1570,9864,1377,6517,1362,7265,1371,6915,1228
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",31031,1112,1343,733,988,521,462,323,858,425,1490,604,2401,929,2586,809,1485,655,585,427,2210,877,4416,1065,4650,1114,3191,808,2061,832,1527,702,778,448
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",27619,1230,1298,502,1557,545,1200,493,1083,397,978,419,921,418,721,315,1347,526,1313,453,1886,595,2927,650,3586,894,3656,760,2418,750,1644,650,1084,369
0500000US04001,04001,"Apache County, Arizona",6361,663,528,322,346,242,427,320,178,176,547,417,607,371,410,272,422,340,388,271,408,291,582,370,561,378,593,336,356,349,8,15,0,305
0500000US04003,04003,"Cochise County, Arizona",42742,1896,3583,1017,2491,653,2332,607,2634,792,2739,820,2547,848,2435,857,2214,808,2656,860,4379,1093,3818,1110,5004,1072,2951,893,1540,651,778,403,641,447
0500000US04005,04005,"Coconino County, Arizona",32376,2164,2752,941,2554,829,1342,604,1422,548,1173,529,2223,798,1675,705,1818,799,1125,605,2760,868,2824,740,5467,1117,2431,757,1054,541,1208,500,548,291
0500000US04013,04013,"Maricopa County, Arizona",1176891,9143,77969,4535,58143,3498,59558,3839,66548,5052,61456,4189,66220,3986,61930,4739,63827,3817,51050,3699,98982,5740,120030,4202,138433,6083,96637,4597,57786,3588,50189,3189,48133,3365
0500000US04015,04015,"Mohave County, Arizona",76796,2622,6142,1402,6119,1443,5232,1291,4828,1159,7559,1287,6339,1247,6132,1350,5940,1153,3248,829,6077,1266,8245,1486,5161,1062,2458,788,1288,596,703,338,1325,671
0500000US04017,04017,"Navajo County, Arizona",20379,1113,1630,649,1157,556,794,449,719,372,1411,633,562,310,642,416,1351,651,925,477,2692,782,2277,837,3149,1119,1279,563,791,611,489,343,511,389
0500000US04019,04019,"Pima County, Arizona",321060,5739,26173,2413,20568,2216,17345,2225,19810,2671,18627,2160,20398,2360,18514,2076,16612,1817,14532,1752,26722,2714,33593,2823,36224,2569,23196,2371,11190,1818,9306,1419,8250,1140
0500000US04021,04021,"Pinal County, Arizona",98350,3730,5254,1544,4328,1294,4367,1065,5194,1263,5865,1284,5269,1417,6017,1325,5395,1387,5704,1177,9260,1780,14240,1817,14844,2273,5838,1198,3275,1010,2412,818,1088,510
0500000US04025,04025,"Yavapai County, Arizona",86450,3444,8315,1869,6892,1716,4193,945,6347,1403,5893,1432,5649,1202,5703,1599,6598,1451,4554,1116,6315,1329,8266,1210,7810,1286,4690,1106,2020,740,1672,693,1533,514
0500000US04027,04027,"Yuma County, Arizona",54744,2626,4517,1154,3207,786,4098,1125,3760,1175,4209,1193,3280,852,3125,842,3279,908,1766,661,5383,1327,5889,1254,6273,1253,3712,1001,605,354,1156,506,485,349
0500000US05007,05007,"Benton County, Arkansas",71902,2272,4040,1157,3915,1145,3421,1086,3810,1029,4502,1307,3866,978,3117,769,3618,857,3923,892,7017,1566,7921,1332,9433,1532,5752,1267,2803,796,3047,865,1717,660
0500000US05031,05031,"Craighead County, Arkansas",32636,1056,3548,1021,2091,694,2801,858,2263,783,2279,806,1786,767,1890,731,1561,647,1500,631,2496,717,2764,679,2623,733,1726,770,906,410,1136,555,1266,625
0500000US05045,05045,"Faulkner County, Arkansas",36316,1440,2165,800,2398,836,1763,668,2439,831,2031,676,1809,683,2449,749,1531,533,1564,627,3727,764,4659,918,4451,989,1903,578,1529,545,1197,544,701,392
0500000US05051,05051,"Garland County, Arkansas",33215,1702,3089,845,2321,840,2046,651,2667,808,1842,703,2674,751,2418,623,1973,753,1554,576,2790,791,3136,853,3271,734,1717,631,575,350,413,337,729,386
0500000US05069,05069,"Jefferson County, Arkansas",12780,1078,564,309,322,300,874,482,967,471,1061,507,847,489,728,351,395,208,777,527,1346,538,1523,599,1938,780,694,382,175,148,420,433,149,145
0500000US05085,05085,"Lonoke County, Arkansas",22511,899,2007,710,977,444,989,435,1398,610,579,277,1030,497,1674,635,1503,646,1350,645,1855,720,2718,703,2937,826,1834,616,1070,507,419,283,171,170
0500000US05119,05119,"Pulaski County, Arkansas",99165,2459,5572,1031,4066,1219,5596,1501,5335,1389,4909,1158,7061,1551,4776,1236,4332,1005,4025,927,7769,1188,12451,1649,11850,1603,7849,1338,4025,840,4912,1119,4637,981
0500000US05125,05125,"Saline County, Arkansas",37740,1482,1679,542,1926,657,1804,574,2220,692,2323,729,2036,616,1698,533,2067,690,1729,638,3715,721,4426,882,4901,907,3776,919,1644,647,1259,603,537,294
0500000US05131,05131,"Sebastian County, Arkansas",42999,1476,3730,1090,2742,871,2709,940,3747,1133,3250,869,3094,925,3357,1078,2567,828,1464,632,2722,760,3815,1079,3945,1041,2614,878,1003,524,895,378,1345,471
0500000US05143,05143,"Washington County, Arkansas",64885,2420,5438,1240,5188,1371,5980,1449,3963,981,2839,795,4878,1096,4111,946,2504,873,2788,898,5642,1407,6718,1389,6051,1222,2536,722,2873,836,2047,697,1329,575
0500000US05145,05145,"White County, Arkansas",27458,1283,2764,867,2063,701,1970,695,1947,693,1998,784,1866,784,1161,536,1178,546,2179,1100,2111,774,2842,763,2829,867,1300,481,717,343,217,208,316,273
0500000US06001,06001,"Alameda County, California",275778,4564,10350,1606,10455,1651,9496,1385,11719,1672,10038,1456,9417,1521,9037,1356,11959,1832,10190,1539,16309,1765,27446,2349,35275,3112,28921,2337,20491,2440,25347,2208,29328,2360
