CountyID,CountyName,TotalPopulation,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more",Year,Race
1003,"Baldwin County, Alabama",69413,3968,3178,2987,3496,2717,3652,3233,3682,2163,5997,7025,9565,7157,3839,3276,3478,2016,White
1015,"Calhoun County, Alabama",33611,2766,1774,1715,2427,1901,2399,2396,1885,859,3347,3071,4236,2198,1209,598,830,2016,White
1043,"Cullman County, Alabama",29268,2924,1494,1715,2350,2195,1401,2598,1239,1316,2334,2987,2414,2162,723,882,534,2016,White
1049,"DeKalb County, Alabama",22765,2761,1849,859,1268,2099,1869,1794,1223,973,2149,1835,2072,653,571,375,415,2016,White
1051,"Elmore County, Alabama",22968,1418,1200,1109,1207,649,719,1173,1657,678,1863,2183,3344,2734,1124,1073,837,2016,White
1055,"Etowah County, Alabama",31868,2069,1666,1896,1908,2307,2065,2275,1897,1223,2639,3331,3518,2161,970,909,1034,2016,White
1069,"Houston County, Alabama",28054,1805,1525,2016,1780,1200,1300,1584,1090,1257,2512,2914,3942,2066,982,1042,1039,2016,White
1073,"Jefferson County, Alabama",141973,7825,5343,6479,5683,6062,7226,6567,5219,5407,10420,14037,18645,13389,7900,9622,12149,2016,White
1077,"Lauderdale County, Alabama",33433,2828,1974,1709,2271,2750,1211,1574,2391,1599,1885,3256,4918,1763,1375,1341,588,2016,White
1081,"Lee County, Alabama",42089,4208,2686,2772,2161,1786,1641,1415,2003,2357,3579,4093,3703,3716,2019,2439,1511,2016,White
1083,"Limestone County, Alabama",27235,1710,1025,1689,1397,1074,1701,939,1591,1607,2278,2516,4099,1473,1398,1324,1414,2016,White
1089,"Madison County, Alabama",97973,3532,3812,4221,4244,4327,3825,4019,3157,4130,7308,8196,12384,10584,7734,8828,7672,2016,White
1095,"Marshall County, Alabama",32999,2276,2588,1965,2093,2897,2182,1398,2127,2118,2588,1983,4013,2198,1057,568,948,2016,White
