PlaceofDestination,City,State,Students,Year,Lat,Lng,County,id
SUNY - University at Buffalo,Buffalo,NY,4539,2008,42.8864468,-78.8783689,Erie  ,73
SUNY - University at Buffalo,Buffalo,NY,5185,2010,42.8864468,-78.8783689,Erie  ,74
SUNY - University at Buffalo,Buffalo,NY,5804,2013,42.8864468,-78.8783689,Erie  ,75
SUNY - University at Buffalo,Buffalo,NY,7252,2016,42.8864468,-78.8783689,Erie  ,76
Texas A&M University,College Station,TX,3587,2000,30.627977,-96.3344068,Brazos  ,77
Texas A&M University,College Station,TX,3589,2005,30.627977,-96.3344068,Brazos  ,78
Texas A&M University,College Station,TX,4558,2008,30.627977,-96.3344068,Brazos  ,79
Texas A&M University,College Station,TX,4874,2010,30.627977,-96.3344068,Brazos  ,80
Texas A&M University,College Station,TX,5149,2013,30.627977,-96.3344068,Brazos  ,81
Texas A&M University,College Station,TX,6960,2016,30.627977,-96.3344068,Brazos  ,82
The Ohio State University Main Campus,Columbus,OH,4035,2000,39.9611755,-82.9987942,Franklin  ,83
The Ohio State University Main Campus,Columbus,OH,4476,2005,39.9611755,-82.9987942,Franklin  ,84
University of Arizona,Tucson,AZ,3023,2005,32.2217429,-110.926479,Pima  ,85
University of California - Berkeley,Berkeley,CA,5632,2013,37.8718992,-122.2585399,Alameda  ,86
University of California - Berkeley,Berkeley,CA,8000,2016,37.8718992,-122.2585399,Alameda  ,87
University of California - Irvine,Irvine,CA,6792,2016,33.6845673,-117.8265049,Orange  ,88
University of California - Los Angeles,Los Angeles,CA,3979,2005,34.0522342,-118.2436849,Los Angeles  ,89
University of California - Los Angeles,Los Angeles,CA,5590,2008,34.0522342,-118.2436849,Los Angeles  ,90
University of California - Los Angeles,Los Angeles,CA,6249,2010,34.0522342,-118.2436849,Los Angeles  ,91
University of California - Los Angeles,Los Angeles,CA,8424,2013,34.0522342,-118.2436849,Los Angeles  ,92
University of California - Los Angeles,Los Angeles,CA,12199,2016,34.0522342,-118.2436849,Los Angeles  ,93
University of California - San Diego,La Jolla,CA,9065,2016,32.8328112,-117.2712717,San Diego ,94
University of Florida,Gainesville,FL,3039,2000,29.6516344,-82.3248262,Alachua  ,95
University of Florida,Gainesville,FL,3749,2005,29.6516344,-82.3248262,Alachua  ,96
University of Florida,Gainesville,FL,4731,2008,29.6516344,-82.3248262,Alachua  ,97
University of Florida,Gainesville,FL,5393,2010,29.6516344,-82.3248262,Alachua  ,98
University of Florida,Gainesville,FL,5961,2013,29.6516344,-82.3248262,Alachua  ,99
University of Florida,Gainesville,FL,7107,2016,29.6516344,-82.3248262,Alachua  ,100
University of Houston,Houston,TX,3010,2000,29.7604267,-95.3698028,Harris  ,101
University of Houston,Houston,TX,3413,2005,29.7604267,-95.3698028,Harris  ,102
University of Houston,Houston,TX,3778,2008,29.7604267,-95.3698028,Harris  ,103
University of Houston,Houston,TX,4377,2010,29.7604267,-95.3698028,Harris  ,104
University of Illinois - Urbana-Champaign,Champaign,IL,3798,2000,40.1164204,-88.2433829,Champaign City Township ,105
University of Illinois - Urbana-Champaign,Champaign,IL,4904,2005,40.1164204,-88.2433829,Champaign City Township ,106
University of Illinois - Urbana-Champaign,Champaign,IL,6570,2008,40.1164204,-88.2433829,Champaign City Township ,107
University of Illinois - Urbana-Champaign,Champaign,IL,7991,2010,40.1164204,-88.2433829,Champaign City Township ,108
University of Illinois - Urbana-Champaign,Champaign,IL,9804,2013,40.1164204,-88.2433829,Champaign City Township ,109
University of Illinois - Urbana-Champaign,Champaign,IL,12454,2016,40.1164204,-88.2433829,Champaign City Township ,110
University of Maryland College Park,College Park,MD,3480,2000,38.9896967,-76.93776,Berwyn ,111
University of Maryland College Park,College Park,MD,3476,2005,38.9896967,-76.93776,Berwyn ,112
University of Michigan - Ann Arbor,Ann Arbor,MI,4004,2000,42.2808256,-83.7430378,Washtenaw  ,113
University of Michigan - Ann Arbor,Ann Arbor,MI,4649,2005,42.2808256,-83.7430378,Washtenaw  ,114
University of Michigan - Ann Arbor,Ann Arbor,MI,5790,2008,42.2808256,-83.7430378,Washtenaw  ,115
University of Michigan - Ann Arbor,Ann Arbor,MI,5995,2010,42.2808256,-83.7430378,Washtenaw  ,116
University of Michigan - Ann Arbor,Ann Arbor,MI,6827,2013,42.2808256,-83.7430378,Washtenaw  ,117
University of Michigan - Ann Arbor,Ann Arbor,MI,8163,2016,42.2808256,-83.7430378,Washtenaw  ,118
University of Minnesota - Twin Cities,Minneapolis,MN,3384,2005,44.977753,-93.2650108,Hennepin  ,119
University of Minnesota - Twin Cities,Minneapolis,MN,4120,2008,44.977753,-93.2650108,Hennepin  ,120
University of Minnesota - Twin Cities,Minneapolis,MN,5124,2010,44.977753,-93.2650108,Hennepin  ,121
University of Minnesota - Twin Cities,Minneapolis,MN,6178,2013,44.977753,-93.2650108,Hennepin  ,122
University of Minnesota - Twin Cities,Minneapolis,MN,7197,2016,44.977753,-93.2650108,Hennepin  ,123
University of Minnesota •À_ Twin Cities,Minneapolis,MN,3356,2000,44.977753,-93.2650108,Hennepin  ,124
University of Pennsylvania,Philadelphia,PA,3487,2000,39.9525839,-75.1652215,Philadelphia  ,125
University of Pennsylvania,Philadelphia,PA,3689,2005,39.9525839,-75.1652215,Philadelphia  ,126
University of Pennsylvania,Philadelphia,PA,4635,2008,39.9525839,-75.1652215,Philadelphia  ,127
University of Pennsylvania,Philadelphia,PA,4752,2010,39.9525839,-75.1652215,Philadelphia  ,128
University of Pennsylvania,Philadelphia,PA,5751,2013,39.9525839,-75.1652215,Philadelphia  ,129
University of Southern California,Los Angeles,CA,5321,2000,34.0522342,-118.2436849,Los Angeles  ,130
University of Southern California,Los Angeles,CA,6881,2005,34.0522342,-118.2436849,Los Angeles  ,131
University of Southern California,Los Angeles,CA,7482,2008,34.0522342,-118.2436849,Los Angeles  ,132
University of Southern California,Los Angeles,CA,8615,2010,34.0522342,-118.2436849,Los Angeles  ,133
University of Southern California,Los Angeles,CA,9840,2013,34.0522342,-118.2436849,Los Angeles  ,134
University of Southern California,Los Angeles,CA,14327,2016,34.0522342,-118.2436849,Los Angeles  ,135
University of Texas - Arlington,Arlington,TX,7277,2016,38.8816208,-77.0909809,Arlington ,136
University of Texas - Austin,Austin,TX,4320,2000,30.267153,-97.7430608,Travis  ,137
University of Texas - Austin,Austin,TX,5395,2005,30.267153,-97.7430608,Travis  ,138
University of Texas - Austin,Austin,TX,5703,2008,30.267153,-97.7430608,Travis  ,139
University of Texas - Austin,Austin,TX,5323,2010,30.267153,-97.7430608,Travis  ,140
University of Texas - Austin,Austin,TX,5481,2013,30.267153,-97.7430608,Travis  ,141
University of Texas - Dallas,Richardson,TX,5193,2013,32.9483335,-96.7298519,Dallas  ,142
University of Texas - Dallas,Richardson,TX,9305,2016,32.9483335,-96.7298519,Dallas  ,143
University of Washington,Seattle,WA,6491,2013,47.6062095,-122.3320708,King  ,144
University of Washington,Seattle,WA,8019,2016,47.6062095,-122.3320708,King  ,145
University of Wisconsin - Madison,Madison,WI,3938,2000,43.0730517,-89.4012302,Dane  ,146
University of Wisconsin - Madison,Madison,WI,3381,2005,43.0730517,-89.4012302,Dane  ,147
University of Wisconsin - Madison,Madison,WI,4243,2008,43.0730517,-89.4012302,Dane  ,148
University of Wisconsin - Madison,Madison,WI,4647,2010,43.0730517,-89.4012302,Dane  ,149
University of Wisconsin - Madison,Madison,WI,5291,2013,43.0730517,-89.4012302,Dane  ,150
