Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US04003,4003,"Cochise County, Arizona",11939,1024,1682,734,1169,556,692,358,447,244,1196,598,1182,682,391,284,530,325,466,493,643,390,1000,580,1414,630,487,331,168,159,368,271,104,173
0500000US04005,4005,"Coconino County, Arizona",4625,536,542,416,133,196,157,230,642,382,219,181,481,383,275,240,103,129,307,289,345,354,683,364,300,285,234,185,0,302,204,308,0,302
0500000US04013,4013,"Maricopa County, Arizona",280746,5747,19582,2233,16616,2311,14129,2240,20709,2525,20662,2168,21301,2498,17912,2525,15625,2015,16246,2172,23304,2953,30130,2945,32216,2872,14717,2168,7803,1737,6324,1275,3470,946
0500000US04015,4015,"Mohave County, Arizona",7948,923,388,297,334,259,282,219,646,450,676,494,1138,678,313,217,575,528,793,503,628,535,769,499,903,527,81,137,208,325,137,167,77,134
0500000US04019,4019,"Pima County, Arizona",94276,3501,9479,1564,8014,1503,8952,1528,7572,1562,5617,1199,5780,1262,5552,1200,3234,880,5681,1063,8363,1263,8112,1340,8640,1365,4612,1004,2345,796,1546,592,777,355
0500000US04021,4021,"Pinal County, Arizona",27197,1837,1960,955,1132,733,2349,1129,1934,990,2128,788,1422,673,2427,848,1738,842,1243,812,2077,884,2668,1013,2998,990,2000,785,644,652,477,370,0,302
0500000US04025,4025,"Yavapai County, Arizona",7728,1092,937,478,223,243,277,286,909,648,1050,654,412,299,1052,600,328,297,132,159,337,283,802,484,612,356,476,360,103,166,0,302,78,125
0500000US04027,4027,"Yuma County, Arizona",30992,1968,3666,1077,3273,1128,2134,869,2480,1018,2479,910,2122,983,1897,665,1842,764,1566,752,3171,1014,2933,812,1554,731,936,545,396,355,408,320,135,165
0500000US05007,5007,"Benton County, Arkansas",8176,939,894,685,274,219,1123,585,790,627,838,587,387,268,873,581,648,457,397,310,640,415,517,382,319,226,329,307,57,103,90,121,0,269
0500000US05143,5143,"Washington County, Arkansas",6817,1264,478,380,749,604,672,803,1125,792,188,179,427,416,451,408,937,596,156,156,438,357,171,214,735,631,156,215,0,269,68,117,66,82
