<<<<<<< HEAD
ï»¿,Place of Destination,City,State,Students,Year,Lat,Lng,County
139,Indiana University - Bloomington,Bloomington,IN,"6,547",2013,39.165325,-86.5263857,Monroe  County
140,University of Minnesota - Twin Cities,Minneapolis,MN,"6,178",2013,44.977753,-93.2650108,Hennepin  County
141,SUNY University at Buffalo,Buffalo,NY,"5,804",2013,42.8864468,-78.8783689,Erie  County
142,University of California - Berkeley,Berkeley,CA,"5,632",2013,37.8718992,-122.2585399,Alameda  County
143,University of Texas - Dallas,Richardson,TX,"5,193",2013,32.9483335,-96.7298519,Dallas  County
144,University of Florida,Gainesville,FL,"5,961",2013,29.6516344,-82.3248262,Alachua  County
145,University of Pennsylvania,Philadelphia,PA,"5,751",2013,39.9525839,-75.1652215,Philadelphia  County
146,University of Wisconsin - Madison,Madison,WI,"5,291",2013,43.0730517,-89.4012302,Dane  County
147,University of Texas - Austin,Austin,TX,"5,481",2013,30.267153,-97.7430608,Travis  County
148,Texas A&M University,College Station,TX,"5,149",2013,30.627977,-96.3344068,Brazos  County
149,Carnegie Mellon University,Pittsburgh,PA,"4,744",2013,40.4406248,-79.9958864,Allegheny  County
>>>>>>> 9ca7294936d9da28b5681a9738acd9bbbbd251e1
