,Place of Destination,City,State,Students,Year,Lat,Lng
78,University of Illinois - Urbana-Champaign,Champaign,IL,"6,570",2008,40.1164204,-88.2433829
79,Purdue University - Main Campus,West Lafayette,IN,"6,136",2008,40.4258686,-86.9080655
80,University of Michigan - Ann Arbor,Ann Arbor,MI,"5,790",2008,42.2808256,-83.7430378
81,University of Texas - Austin,Austin,TX,"5,703",2008,30.267153,-97.7430608
82,University of California - Los Angeles,Los Angeles,CA,"5,590",2008,34.0522342,-118.2436849
83,Boston University,Boston,MA,"5,037",2008,42.3600825,-71.0588801
84,Michigan State University,East Lansing,MI,"4,757",2008,42.7369792,-84.4838654
85,Harvard University,Cambridge,MA,"4,735",2008,52.205337,0.121817
86,University of Florida,Gainesville,FL,"4,731",2008,29.6516344,-82.3248262
87,University of Pennsylvania,Philadelphia,PA,"4,635",2008,39.9525839,-75.1652215
88,Ohio State University - Main Campus,Columbus,OH,"4,583",2008,39.9611755,-82.9987942
89,Indiana University - Bloomington,Bloomington,IN,"4,565",2008,39.165325,-86.5263857
90,Texas A&M University,College Station,TX,"4,558",2008,30.627977,-96.3344068
91,SUNY University at Buffalo,Buffalo,NY,"4,539",2008,42.8864468,-78.8783689
92,Arizona State University - Tempe Campus,Tempe,AZ,"4,375",2008,33.4255104,-111.9400054
93,University of Wisconsin - Madison,Madison,WI,"4,243",2008,43.0730517,-89.4012302
94,University of Minnesota - Twin Cities,Minneapolis,MN,"4,120",2008,44.977753,-93.2650108
95,Cornell University,Ithaca,NY,"4,018",2008,42.4439614,-76.5018807
96,Stanford University,Stanford,CA,"3,976",2008,37.4274745,-122.169719
97,Georgia Institute of Technology,Atlanta,GA,"3,911",2008,33.7489954,-84.3879824
98,University of Houston,Houston,TX,"3,778",2008,29.7604267,-95.3698028
99,Penn State University - University Park,University Park,PA,"3,741",2008,32.8550377,-96.797592
100,University of Southern California,Los Angeles,CA,"8,615",2010,34.0522342,-118.2436849
101,University of Illinois - Urbana-Champaign,Champaign,IL,"7,991",2010,40.1164204,-88.2433829
102,New York University,New York,NY,"7,988",2010,40.7127753,-74.0059728
103,Purdue University - Main Campus,West Lafayette,IN,"7,562",2010,40.4258686,-86.9080655
104,Columbia University,New York,NY,"7,297",2010,40.7127753,-74.0059728
105,University of California - Los Angeles,Los Angeles,CA,"6,249",2010,34.0522342,-118.2436849
106,Ohio State University - Main Campus,Columbus,OH,"6,082",2010,39.9611755,-82.9987942
107,University of Michigan - Ann Arbor,Ann Arbor,MI,"5,995",2010,42.2808256,-83.7430378
108,Michigan State University,East Lansing,MI,"5,748",2010,42.7369792,-84.4838654
109,Harvard University,Cambridge,MA,"5,594",2010,52.205337,0.121817
110,Indiana University - Bloomington,Bloomington,IN,"5,471",2010,39.165325,-86.5263857
111,Boston University,Boston,MA,"5,464",2010,42.3600825,-71.0588801
112,University of Florida,Gainesville,FL,"5,393",2010,29.6516344,-82.3248262
113,University of Texas - Austin,Austin,TX,"5,323",2010,30.267153,-97.7430608
114,Penn State University - University Park,University Park,PA,"5,207",2010,32.8550377,-96.797592
115,Northeastern University,Boston,MA,"5,187",2010,42.3600825,-71.0588801
116,SUNY University at Buffalo,Buffalo,NY,"5,185",2010,42.8864468,-78.8783689
117,University of Minnesota - Twin Cities,Minneapolis,MN,"5,124",2010,44.977753,-93.2650108
118,Georgia Institute of Technology,Atlanta,GA,"4,943",2010,33.7489954,-84.3879824
119,Arizona State University,Tempe,AZ,"4,934",2010,33.4255104,-111.9400054
120,Texas A&M University,College Station,TX,"4,874",2010,30.627977,-96.3344068
121,University of Pennsylvania,Philadelphia,PA,"4,752",2010,39.9525839,-75.1652215
122,University of Wisconsin - Madison,Madison,WI,"4,647",2010,43.0730517,-89.4012302
123,University of Houston,Houston,TX,"4,377",2010,29.7604267,-95.3698028
124,Cornell University,Ithaca,NY,"4,357",2010,42.4439614,-76.5018807
125,New York University,New York,NY,"9,362",2013,40.7127753,-74.0059728
126,University of Southern California,Los Angeles,CA,"9,840",2013,34.0522342,-118.2436849
127,University of Illinois - Urbana-Champaign,Champaign,IL,"9,804",2013,40.1164204,-88.2433829
128,Columbia University,New York,NY,"8,797",2013,40.7127753,-74.0059728
129,Purdue University - Main Campus,West Lafayette,IN,"9,509",2013,40.4258686,-86.9080655
130,University of California - Los Angeles,Los Angeles,CA,"8,424",2013,34.0522342,-118.2436849
131,Northeastern University,Boston,MA,"7,705",2013,42.3600825,-71.0588801
132,Arizona State University,Tempe,AZ,"6,645",2013,33.4255104,-111.9400054
133,Michigan State University,East Lansing,MI,"6,759",2013,42.7369792,-84.4838654
134,University of Washington,Seattle,WA,"6,491",2013,47.6062095,-122.3320708
135,University of Michigan - Ann Arbor,Ann Arbor,MI,"6,827",2013,42.2808256,-83.7430378
136,Boston University,Boston,MA,"6,615",2013,42.3600825,-71.0588801
137,Penn State University - University Park,University Park,PA,"6,693",2013,32.8550377,-96.797592
138,Ohio State University - Main Campus,Columbus,OH,"6,478",2013,39.9611755,-82.9987942
139,Indiana University - Bloomington,Bloomington,IN,"6,547",2013,39.165325,-86.5263857
140,University of Minnesota - Twin Cities,Minneapolis,MN,"6,178",2013,44.977753,-93.2650108
141,SUNY University at Buffalo,Buffalo,NY,"5,804",2013,42.8864468,-78.8783689
142,University of California - Berkeley,Berkeley,CA,"5,632",2013,37.8718992,-122.2585399
143,University of Texas - Dallas,Richardson,TX,"5,193",2013,32.9483335,-96.7298519
144,University of Florida,Gainesville,FL,"5,961",2013,29.6516344,-82.3248262
145,University of Pennsylvania,Philadelphia,PA,"5,751",2013,39.9525839,-75.1652215
146,University of Wisconsin - Madison,Madison,WI,"5,291",2013,43.0730517,-89.4012302
147,University of Texas - Austin,Austin,TX,"5,481",2013,30.267153,-97.7430608
148,Texas A&M University,College Station,TX,"5,149",2013,30.627977,-96.3344068
149,Carnegie Mellon University,Pittsburgh,PA,"4,744",2013,40.4406248,-79.9958864
