,Unnamed: 0,Place of Destination,City,State,Students,Year,Lat,Lng,County_Name,County
48,48,Cornell University,Ithaca,Tompkins County,"3,024",2000,42.4439614,-76.5018807,Ithaca County,"Ithaca County, Tompkins County"
49,49,University of Houston,Houston,Texas,"3,010",2000,29.7604267,-95.3698028,Harris  County,"Harris  County, Texas"
50,50,University of Southern California California,Los Angeles,California,"6,881",2005,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
51,51,Columbia University,New York,United States,"5,575",2005,40.7127753,-74.0059728,New York County,"New York County, New York"
52,52,"Purdue University, Main Campus",West Lafayette,Tippecanoe County,"5,540",2005,40.4258686,-86.9080655,Wabash Township County,"Wabash Township County, Indiana"
53,53,New York University,New York,United States,"5,502",2005,40.7127753,-74.0059728,New York County,"New York County, New York"
54,54,University of Texas at Austin,Austin,Texas,"5,395",2005,30.267153,-97.7430608,Travis  County,"Travis  County, Texas"
55,55,University of Illinois at Urbana-Champaign,Champaign,Champaign County,"4,904",2005,40.1164204,-88.2433829,Champaign City Township County,"Champaign City Township County, Illinois"
56,56,University of Michigan - Ann Arbor,Ann Arbor,Michigan,"4,649",2005,42.2808256,-83.7430378,Washtenaw  County,"Washtenaw  County, Michigan"
57,57,Boston University,Boston,Massachusetts,"4,542",2005,42.3600825,-71.0588801,Suffolk  County,"Suffolk County, Massachusetts"
58,58,"The Ohio State University, Main Campus",Columbus,Ohio,"4,476",2005,39.9611755,-82.9987942,Franklin  County,"Franklin  County, Ohio"
59,59,SUNY - University at Buffalo,Buffalo,New York,"4,072",2005,42.8864468,-78.8783689,Erie  County,"Erie  County, New York"
60,60,University of California - Los Angeles,Los Angeles,California,"3,979",2005,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
61,61,University of Florida,Gainesville,Florida,"3,749",2005,29.6516344,-82.3248262,Alachua  County,"Alachua  County, Florida"
62,62,Cornell University,Ithaca,Tompkins County,"3,697",2005,42.4439614,-76.5018807,Ithaca County,"Ithaca County, Tompkins County"
63,63,University of Pennsylvania,Philadelphia,Pennsylvania,"3,689",2005,39.9525839,-75.1652215,Philadelphia  County,"Philadelphia  County, Pennsylvania"
64,64,Harvard University,Cambridge,Cambridgeshire,"3,669",2005,52.205337,0.121817,Cambridge County,"Cambridge County, Massachusetts"
65,65,Texas A&M University,College Station,Texas,"3,589",2005,30.627977,-96.3344068,Brazos  County,"Brazos  County, Texas"
66,66,Indiana University at Bloomington,Bloomington,Indiana,"3,540",2005,39.165325,-86.5263857,Monroe  County,"Monroe  County, Indiana"
67,67,University of Maryland College Park,College Park,Prince George's County,"3,476",2005,38.9896967,-76.93776,Berwyn County,Prince George's County Maryland
68,68,University of Houston,Houston,Texas,"3,413",2005,29.7604267,-95.3698028,Harris  County,"Harris  County, Texas"
69,69,University of Minnesota - Twin Cities,Minneapolis,Minnesota,"3,384",2005,44.977753,-93.2650108,Hennepin  County,"Hennepin  County, Minnesota"
70,70,University of Wisconsin - Madison,Madison,Wisconsin,"3,381",2005,43.0730517,-89.4012302,Dane  County,"Dane  County, Wisconsin"
71,71,Michigan State University,East Lansing,Michigan,"3,293",2005,42.7369792,-84.4838654,Ingham  County,"Ingham  County, Michigan"
72,72,Stanford University,Stanford,Stanford,"3,200",2005,37.4274745,-122.169719,Serra Mall County,"Serra Mall County, California"
73,73,Penn State University - University Park,University Park,Texas,"3,199",2005,32.8550377,-96.797592,Dallas  County,"Dallas  County, Texas"
74,74,University of Arizona,Tucson,Arizona,"3,023",2005,32.2217429,-110.926479,Pima  County,"Pima  County, Arizona"
75,75,University of Southern California,Los Angeles,California,"7,482",2008,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
76,76,New York University,New York,United States,"6,761",2008,40.7127753,-74.0059728,New York County,"New York County, New York"
77,77,Columbia University,New York,United States,"6,685",2008,40.7127753,-74.0059728,New York County,"New York County, New York"
78,78,University of Illinois - Urbana-Champaign,Champaign,Champaign County,"6,570",2008,40.1164204,-88.2433829,Champaign City Township County,"Champaign City Township County, Illinois"
79,79,Purdue University - Main Campus,West Lafayette,Tippecanoe County,"6,136",2008,40.4258686,-86.9080655,Wabash Township County,"Wabash Township County, Indiana"
80,80,University of Michigan - Ann Arbor,Ann Arbor,Michigan,"5,790",2008,42.2808256,-83.7430378,Washtenaw  County,"Washtenaw  County, Michigan"
81,81,University of Texas - Austin,Austin,Texas,"5,703",2008,30.267153,-97.7430608,Travis  County,"Travis  County, Texas"
82,82,University of California - Los Angeles,Los Angeles,California,"5,590",2008,34.0522342,-118.2436849,Los Angeles  County,"Los Angeles  County, California"
83,83,Boston University,Boston,Massachusetts,"5,037",2008,42.3600825,-71.0588801,Suffolk  County,"Suffolk County, Massachusetts"
84,84,Michigan State University,East Lansing,Michigan,"4,757",2008,42.7369792,-84.4838654,Ingham  County,"Ingham  County, Michigan"
85,85,Harvard University,Cambridge,Cambridgeshire,"4,735",2008,52.205337,0.121817,Cambridge County,"Cambridge County, Massachusetts"
