Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
0500000US02020,2020,"Anchorage Municipality, Alaska",8091,1095,837,470,939,559,363,308,222,200,748,513,585,342,475,384,138,159,405,366,632,419,954,528,346,304,489,365,492,367,58,100,408,381
0500000US04001,4001,"Apache County, Arizona",12081,912,3130,613,1404,586,794,274,1152,436,553,200,790,384,476,295,787,420,303,163,890,310,620,300,780,343,166,158,176,162,35,42,25,44
0500000US04005,4005,"Coconino County, Arizona",8367,1227,1183,412,405,240,473,311,1000,598,847,434,557,287,872,546,530,349,439,343,670,382,393,284,606,279,187,185,46,81,159,166,0,305
0500000US04013,4013,"Maricopa County, Arizona",20744,1944,2536,1016,947,515,1460,657,2111,951,1323,578,2227,879,1938,846,818,409,435,272,2307,898,1837,709,1945,764,457,316,244,184,104,154,55,96
0500000US04017,4017,"Navajo County, Arizona",13271,1257,3975,980,1255,411,707,324,1498,470,748,412,1117,564,412,242,354,170,336,210,822,380,1021,457,337,197,224,210,163,243,223,227,79,126
0500000US04019,4019,"Pima County, Arizona",10882,1182,2486,899,621,430,860,587,906,478,688,444,665,396,534,314,664,430,809,451,363,267,926,466,826,368,247,199,119,136,168,253,0,305
0500000US06037,6037,"Los Angeles County, California",14517,1791,1544,643,1509,557,727,377,955,543,562,407,576,393,656,335,806,352,513,255,1168,516,1642,513,1397,572,1002,511,482,269,766,370,212,166
0500000US06059,6059,"Orange County, California",3981,793,273,233,584,480,209,208,99,114,152,140,90,101,337,281,62,103,0,294,145,138,453,339,860,412,405,384,0,294,45,73,267,245
0500000US06065,6065,"Riverside County, California",6481,1201,711,519,551,311,100,111,397,353,56,101,590,495,97,111,224,180,186,209,569,347,625,493,1024,500,785,565,123,131,134,130,309,284
0500000US06067,6067,"Sacramento County, California",5239,1213,146,180,672,523,341,254,420,316,19,34,175,140,270,326,472,405,207,216,363,316,762,491,333,332,406,293,0,294,452,413,201,230
0500000US06071,6071,"San Bernardino County, California",6279,1397,507,346,271,200,483,386,174,184,485,470,491,459,521,331,430,389,482,381,398,448,707,436,415,369,353,315,335,348,227,380,0,294
0500000US06073,6073,"San Diego County, California",5883,989,536,386,450,309,503,405,561,333,245,210,190,161,506,392,130,132,101,96,474,264,480,315,668,433,616,305,126,135,267,165,30,38
0500000US17031,17031,"Cook County, Illinois",4494,1084,888,485,272,221,128,152,226,306,117,139,453,308,206,182,177,222,209,201,183,169,858,452,400,289,281,290,96,113,0,267,0,267
0500000US35001,35001,"Bernalillo County, New Mexico",9482,1114,931,429,396,391,629,490,780,431,441,435,427,383,591,357,516,281,546,431,1307,566,963,519,1201,616,381,237,257,219,116,139,0,285
0500000US35031,35031,"McKinley County, New Mexico",11498,951,2567,573,1248,562,1198,524,1323,615,896,398,753,375,397,188,514,285,604,350,566,277,623,353,538,322,159,163,0,285,79,124,33,55
0500000US35043,35043,"Sandoval County, New Mexico",4427,688,531,234,182,140,114,129,154,134,336,208,530,252,431,283,512,412,386,278,192,155,367,178,317,207,288,267,0,285,87,102,0,285
0500000US35045,35045,"San Juan County, New Mexico",12390,1179,2354,793,987,364,1173,519,562,327,976,488,539,347,331,196,335,240,438,325,1587,664,704,321,1509,631,553,368,233,232,22,40,87,129
0500000US37155,37155,"Robeson County, North Carolina",15110,1434,2285,895,1485,812,1625,859,1258,523,1440,735,1710,801,1019,542,1207,622,751,481,366,218,749,556,642,408,99,123,365,350,0,289,109,131
0500000US40027,40027,"Cleveland County, Oklahoma",3207,631,611,354,0,253,92,109,228,177,27,47,132,138,136,130,222,166,174,134,245,222,601,285,353,312,123,164,34,57,143,150,86,105
0500000US40109,40109,"Oklahoma County, Oklahoma",7657,982,1227,473,341,185,266,219,585,329,748,366,573,404,714,351,227,164,309,250,388,345,924,449,684,333,490,399,138,136,0,253,43,58
0500000US40131,40131,"Rogers County, Oklahoma",4334,683,259,219,449,316,456,362,356,272,177,212,228,250,217,258,454,395,81,127,438,323,621,385,217,179,95,114,0,253,171,182,115,135
0500000US40143,40143,"Tulsa County, Oklahoma",10076,1271,996,543,991,461,654,368,391,218,891,478,537,367,981,521,514,311,402,297,655,393,503,368,1179,504,511,313,452,241,247,174,172,144
0500000US48029,48029,"Bexar County, Texas",5671,1508,324,301,803,664,111,131,607,349,52,85,423,385,147,139,416,415,530,281,370,402,460,342,762,464,141,234,478,465,47,78,0,294
0500000US48201,48201,"Harris County, Texas",5956,1315,752,517,765,490,342,287,133,164,722,491,197,190,385,305,354,399,345,252,121,143,532,447,477,459,483,305,89,157,100,131,159,190
0500000US53033,53033,"King County, Washington",5444,929,951,476,122,132,528,332,512,430,422,357,119,121,170,172,341,262,95,159,147,139,588,459,433,255,527,331,165,188,324,238,0,277
