State,Count
Texas,24
New York,22
California,17
Indiana,12
Michigan,11
Massachusetts,9
Florida,7
Pennsylvania,7
Illinois,6
Ohio,6
Minnesota,6
Arizona,5
Wisconsin,5
England,4
Maryland,3
Georgia,2
Virginia,2
Washington,2
